Animal,Corte,Grupo,Region,PC1,PC2,cluster
CS2,1,CS,CA1,-1.2400735594100618,0.2398083441294811,1
CS2,1,CS,CA1,1.9306145335009088,0.12867332733832212,2
CS2,1,CS,CA1,-0.21991264058250257,0.5187727220964884,1
CS2,1,CS,CA1,-1.0784459594090654,0.4134320322118227,1
CS2,1,CS,CA1,-1.521736146985705,0.355664895059548,1
CS2,1,CS,CA1,-5.494771472791148,-1.3029834171259533,3
CS2,1,CS,CA1,0.40213038967711434,1.2603365970348015,1
CS2,1,CS,CA1,-0.14060627507394344,0.4906690322410916,1
CS2,1,CS,CA1,1.6993192424578802,-0.06849952236776485,2
CS2,1,CS,CA1,-2.17055760512247,-0.01925186212940498,3
CS2,1,CS,CA1,-0.8296246104496071,0.504384878703522,1
CS2,1,CS,CA1,2.4522102265505565,-0.674117829914106,2
CS2,1,CS,CA1,1.020817193604634,0.9992504965082123,1
CS2,1,CS,CA1,-2.667341331657277,-0.19633853607010274,3
CS2,1,CS,CA1,-3.128929168218303,-0.24557177791942078,3
CS2,2,CS,CA1,-0.6820829944052887,0.5110056653065272,1
CS2,2,CS,CA1,2.0559681880878578,-0.1485350673087041,2
CS2,2,CS,CA1,1.862377292183609,-0.02412672563612069,2
CS2,2,CS,CA1,-0.023638470407426733,0.6349247720261281,1
CS2,2,CS,CA1,0.9777390166418832,0.45345860352074197,1
CS2,2,CS,CA1,2.0972338989421995,-0.8810791222660429,2
CS2,2,CS,CA1,-0.6450948964501948,0.6111433997665927,1
CS2,2,CS,CA1,0.4403151103679338,0.02130291892671098,1
CS2,2,CS,CA1,0.21286561657953615,0.3952098901583251,1
CS2,2,CS,CA1,0.3060033861541077,1.1473319328915759,1
CS2,2,CS,CA1,0.7751859062238703,-0.13669948952628205,2
CS2,2,CS,CA1,-1.2417826046768632,0.33730091083046637,1
CS2,2,CS,CA1,0.8251060668990704,0.310790282625112,1
CS2,2,CS,CA1,1.3387922036456013,0.20992606484327486,2
CS2,2,CS,CA1,2.2815814352533956,-0.18414591992699786,2
CS2,3,CS,CA1,-0.2229913537997375,0.30373339359096974,1
CS2,3,CS,CA1,1.4720206571729704,0.29797830646905754,2
CS2,3,CS,CA1,0.4648933792178086,0.8045500826726684,1
CS2,3,CS,CA1,1.3110229889138914,0.41069722971291234,2
CS2,3,CS,CA1,0.47358041515105015,0.9260436546640457,1
CS2,3,CS,CA1,-0.6141772010540587,0.5815914571622447,1
CS2,3,CS,CA1,-0.27945627392948263,0.27504818326832875,1
CS2,3,CS,CA1,-1.3321176203870269,0.2837910618058658,1
CS2,3,CS,CA1,-2.1133953899187783,-0.06615321305265948,3
CS2,3,CS,CA1,1.466802577906857,0.7944477055570875,2
CS2,3,CS,CA1,1.2815255734690885,0.4069535812414358,2
CS2,3,CS,CA1,-3.4810234432524467,-0.4423142140851857,3
CS2,3,CS,CA1,-0.8435241657049455,0.37529228271708914,1
CS2,3,CS,CA1,1.0245495545311325,0.5001813110003317,1
CS2,3,CS,CA1,0.29415087457129974,0.5847115347819916,1
CS2,4,CS,CA1,1.0628763274814583,0.31753288762856,2
CS2,4,CS,CA1,2.474902077456692,-0.7328723119756612,2
CS2,4,CS,CA1,2.8011496499203643,-1.0066732663960662,2
CS2,4,CS,CA1,-2.164586060908287,-0.034244667555377986,3
CS2,4,CS,CA1,-0.047551127259628304,0.8522107008855452,1
CS2,4,CS,CA1,0.6069550696769618,0.8282144005934177,1
CS2,4,CS,CA1,-2.066081824663344,-0.10070105491432638,3
CS2,4,CS,CA1,0.9323936491648345,0.541682925418583,1
CS2,4,CS,CA1,0.7339039695433861,0.30299653860525416,1
CS2,4,CS,CA1,0.2079334792404705,0.2640007835054032,1
CS2,4,CS,CA1,0.4817922326210645,1.092216791759383,1
CS2,4,CS,CA1,-0.9533729842171007,0.5492582744832898,1
CS2,4,CS,CA1,-0.7027980219417136,0.9101598073670566,1
CS2,4,CS,CA1,-2.3203879812378587,0.031995035089704534,3
CS2,4,CS,CA1,0.3110508005458644,1.1021943443213524,1
CS2,1,CS,CA3,-0.6673245931971418,0.21265200213088023,1
CS2,1,CS,CA3,0.9587994045935977,0.38975996490422526,1
CS2,1,CS,CA3,1.958149689218,0.17083218851741386,2
CS2,1,CS,CA3,2.4316633582537377,-0.4903688538130363,2
CS2,1,CS,CA3,2.7426199468620287,-1.0759601747559384,2
CS2,1,CS,CA3,0.3052093903077564,0.2105093253555999,1
CS2,1,CS,CA3,1.0602003148305652,-0.2379893515815853,2
CS2,1,CS,CA3,-1.3054067053656546,-0.11039142012290055,1
CS2,1,CS,CA3,0.3323955624801867,0.38222622339621376,1
CS2,1,CS,CA3,0.7616999903471908,0.22363739417207545,1
CS2,1,CS,CA3,0.32589800876264946,-0.019070185121108866,1
CS2,1,CS,CA3,1.300188491319934,0.4728427198977406,2
CS2,1,CS,CA3,1.8369304130740742,-0.4748929928284654,2
CS2,1,CS,CA3,0.3676405263470476,0.73281356347856,1
CS2,1,CS,CA3,-1.427193455410105,0.02541681012381712,1
CS2,2,CS,CA3,-0.07952286505826228,0.4214048168972212,1
CS2,2,CS,CA3,0.8942479192428803,0.23660759558984049,1
CS2,2,CS,CA3,-1.3138850890574565,0.11517185417839143,1
CS2,2,CS,CA3,-0.3806254301796155,0.4456446839280417,1
CS2,2,CS,CA3,0.8905242521443926,0.9078181631317722,1
CS2,2,CS,CA3,0.06397047094129295,0.6393920495792683,1
CS2,2,CS,CA3,-1.5808434225788286,-0.06886742080198742,1
CS2,2,CS,CA3,2.39809905511425,-0.41329546296048425,2
CS2,2,CS,CA3,-3.420262239193329,-0.74280897588393,3
CS2,2,CS,CA3,-0.5094999947874188,0.41772661245592657,1
CS2,2,CS,CA3,-4.182206107980335,-1.0172232458432424,3
CS2,2,CS,CA3,-1.2123715392911933,0.44897004767026527,1
CS2,2,CS,CA3,-4.252950650632096,-0.9737189463806206,3
CS2,2,CS,CA3,2.4803822371453492,-0.5659862666751148,2
CS2,2,CS,CA3,0.9213266614730736,0.09811341005540801,2
CS2,3,CS,CA3,0.2915725658089225,0.6623352482339913,1
CS2,3,CS,CA3,-0.7474265711396185,0.4378602278463488,1
CS2,3,CS,CA3,1.753621520345562,-0.2746188691120363,2
CS2,3,CS,CA3,-1.351927161021882,-0.3583794772508941,1
CS2,3,CS,CA3,1.070551966190342,0.1754402437254411,2
CS2,3,CS,CA3,-0.36388348798866293,0.4205498143497076,1
CS2,3,CS,CA3,0.6672167940057048,-0.24990472906875028,2
CS2,3,CS,CA3,1.533345659220818,-0.4581166949043522,2
CS2,3,CS,CA3,-0.485021405158332,0.43789845512013764,1
CS2,3,CS,CA3,2.0047542768595865,-0.1858829795748996,2
CS2,3,CS,CA3,2.0226389355668477,-0.687048119214677,2
CS2,3,CS,CA3,1.1922797838837826,-0.08532000610065783,2
CS2,3,CS,CA3,0.6092377713907295,0.2773698058063587,1
CS2,3,CS,CA3,1.809893630796411,-0.749968499238696,2
CS2,3,CS,CA3,-2.3404143575311767,-0.0367052065800723,3
CS2,4,CS,CA3,1.5904768999079184,0.29347706292934655,2
CS2,4,CS,CA3,-0.12942097981985393,0.498003146191898,1
CS2,4,CS,CA3,0.8225031460015212,-0.09257964145295527,2
CS2,4,CS,CA3,1.1578237491028716,0.03673007136465358,2
CS2,4,CS,CA3,0.9758202428935061,0.49823948442342275,1
CS2,4,CS,CA3,0.3213366523460473,0.22204170827923786,1
CS2,4,CS,CA3,1.4467146071877155,-0.17683634265534603,2
CS2,4,CS,CA3,2.841669104928261,-1.2258227082300137,2
CS2,4,CS,CA3,1.5615726840857858,0.12999614041834995,2
CS2,4,CS,CA3,-1.158639887171186,0.17280026322072983,1
CS2,4,CS,CA3,0.6959028749813159,0.0658390452215976,1
CS2,4,CS,CA3,-0.9215544513550873,0.20730329940017514,1
CS2,4,CS,CA3,1.2144454070469077,0.3030195675911531,2
CS2,4,CS,CA3,-1.7940416143263642,0.06587575102731993,1
CS2,4,CS,CA3,1.5530998046505935,0.3578971941461173,2
CS2,1,CS,GD,-0.013514022689550976,0.6989826030074455,1
CS2,1,CS,GD,-1.225908055794895,0.35710120268538936,1
CS2,1,CS,GD,-0.3461138553931667,0.7279545095468122,1
CS2,1,CS,GD,1.878244819538839,-0.3277406783185516,2
CS2,1,CS,GD,-0.5162127260946321,0.24667253290154262,1
CS2,1,CS,GD,1.4557233012745001,0.5059080400904173,2
CS2,1,CS,GD,1.1565958148695412,0.8791411050090062,1
CS2,1,CS,GD,0.0971620561232055,0.699962796818962,1
CS2,1,CS,GD,2.3068695708025992,-0.7521716526048913,2
CS2,1,CS,GD,1.2410987275876153,0.35237137759846704,2
CS2,1,CS,GD,-0.04186887037227126,0.4864170036898915,1
CS2,1,CS,GD,-3.5537473941618196,-0.7075958243765396,3
CS2,1,CS,GD,-0.2581786920883018,0.7741726970391057,1
CS2,1,CS,GD,0.41295916941723054,0.9360560528536435,1
CS2,1,CS,GD,2.379627736782129,-0.9080970140015812,2
CS2,2,CS,GD,-0.6557495671348,0.7619576147042465,1
CS2,2,CS,GD,0.34612646346824893,0.4542777140186372,1
CS2,2,CS,GD,0.22658534703363511,0.8671996182227437,1
CS2,2,CS,GD,-2.795789104379628,-0.0863689128912816,3
CS2,2,CS,GD,-1.0605749261190358,0.4222578650176064,1
CS2,2,CS,GD,-0.6943085809053156,0.49350068647578565,1
CS2,2,CS,GD,-0.004782125499386487,0.5350996897674187,1
CS2,2,CS,GD,2.2117510985759745,-0.7119710087541881,2
CS2,2,CS,GD,0.7125854277094384,0.3116860988029001,1
CS2,2,CS,GD,-2.4341995675556904,-0.1734859906371468,3
CS2,2,CS,GD,0.10316045944987956,0.6601079491863554,1
CS2,2,CS,GD,2.357217879773993,-0.8935373553217866,2
CS2,2,CS,GD,-0.8904211654916016,0.482042396800874,1
CS2,2,CS,GD,-1.2110860120137021,0.49799202224792305,1
CS2,2,CS,GD,0.496368270943517,0.6982826561436982,1
CS2,3,CS,GD,2.055268492717099,-0.31224466810305923,2
CS2,3,CS,GD,1.9839973128924637,-1.1145391409124072,2
CS2,3,CS,GD,1.1860652765796376,0.09212501073482544,2
CS2,3,CS,GD,0.918159482888745,0.2881595032275134,1
