Animal,Corte,Grupo,Region,Foreground.pixels.by.hull.area,Hull.Area,Diameter.of.Bounding.Circle,Mean.Radius,Cell.Area,Cell.Perimeter,Solidity,Round,Circularity,Hull.void.area,Branches,Junctions,End.point.voxels,Triple.points,Quadruple.points,Average.branch.length,Maximum.branch.length,D,Lacunarity
AL2,2,AL,CA3,0.6461,2741,120.2165,48.5414,1771,327.848,0.608,0.192,0.207,970,5,2,4,2,0,31.585,52.87,208,1675
AL2,2,AL,CA3,0.8022,1183,44.9006,21.123,949,156.409,0.75,0.653,0.487,234,3,1,3,1,0,24.842,36.799,1170,764
AL2,2,AL,CA3,0.7096,2176,91.0659,37.9344,1544,255.421,0.668,0.307,0.297,632,9,4,6,4,0,16.198,64.355,882,1150
AL2,2,AL,CA3,0.7099,955,49.2544,21.5727,678,171.38,0.655,0.469,0.29,277,9,4,6,4,0,10.277,20.728,828,864
AL2,2,AL,CA3,0.4849,2415,78.373,35.3344,1171,277.362,0.459,0.566,0.191,1244,9,4,5,3,1,15.876,36.456,129,1401
AL2,2,AL,CA3,0.8176,1069,62.434,26.4423,874,168.51,0.754,0.39,0.387,195,3,1,3,1,0,25.418,37.042,1028,567
AL2,2,AL,CA3,0.6307,1519,59.8601,27.2092,958,205.966,0.593,0.686,0.284,561,9,4,6,4,0,12.749,23.071,861,1009
AL2,2,AL,CA3,0.5371,3016,84.124,38.1954,1620,327.203,0.513,0.791,0.19,1396,14,6,9,5,1,13.558,49.527,549,1480
AL2,2,AL,CA3,0.753,1437,54.8781,25.0521,1082,194.208,0.707,0.861,0.36,355,7,3,5,3,0,16.175,31.556,971,1008
AL2,2,AL,CA3,0.5512,2968,84.0536,35.9884,1636,298.919,0.528,0.724,0.23,1332,5,2,4,2,0,32.433,47.87,538,1477
AL2,3,AL,CA3,0.5295,1883,94.0213,36.8044,997,291.647,0.494,0.288,0.147,886,12,6,6,6,0,13.488,21.728,193,1755
AL2,3,AL,CA3,0.4681,2833,87.9659,36.8738,1326,411.387,0.446,0.444,0.098,1507,22,9,14,6,3,11.207,24.556,727,1350
AL2,3,AL,CA3,0.5238,567,39.3192,16.5167,297,136.267,0.471,0.558,0.201,270,5,2,4,2,0,13.788,20.728,315,1175
AL2,3,AL,CA3,0.9457,681,40.2492,16.0362,644,113.054,0.865,0.742,0.633,37,3,1,3,1,0,13.485,21.971,1515,149
AL2,3,AL,CA3,1.0497,483,28.6741,12.82,507,85.497,0.942,0.831,0.872,-24,1,0,2,0,0,7.657,7.657,1096,168
AL2,3,AL,CA3,0.6825,1159,52.4443,22.7722,791,194.936,0.635,0.555,0.262,368,14,7,7,7,0,8.922,20.485,932,1018
AL2,3,AL,CA3,0.6893,927,65.1929,26.6285,639,166.853,0.628,0.219,0.288,288,3,1,3,1,0,25.095,41.142,783,284
AL2,3,AL,CA3,0.8295,962,80.6536,33.7291,798,188.853,0.75,0.184,0.281,164,1,0,2,0,0,84.527,84.527,696,456
AL2,3,AL,CA3,0.6657,2121,70.4144,30.5104,1412,353.245,0.63,0.634,0.142,709,21,10,10,9,0,11.097,29.971,1210,1281
AL2,3,AL,CA3,0.6214,1511,63.0079,26.1689,939,221.321,0.581,0.547,0.241,572,7,3,5,3,0,16.771,41.042,509,1486
AL2,3,AL,CA3,0.91,1167,52.0503,22.462,1062,155.681,0.851,0.531,0.551,105,3,1,3,1,0,23.866,43.213,1507,258
AL2,3,AL,CA3,0.6073,1258,56.0803,24.4115,764,218.836,0.564,0.614,0.2,494,12,5,7,3,2,10.254,26.314,797,1410
AL2,3,AL,CA3,0.4224,3613,101.3558,44.9515,1526,458.843,0.405,0.292,0.091,2087,22,10,13,9,1,11.966,31.627,518,1373
AL2,3,AL,CA3,0.9116,294,24.7386,10.5514,268,80.669,0.794,0.638,0.518,26,1,0,2,0,0,25.142,25.142,429,224
AL2,3,AL,CA3,0.4765,2856,91.4166,36.4293,1361,359.304,0.455,0.679,0.132,1495,10,4,7,3,1,20.226,46.284,502,1647
AL2,4,AL,CA3,0.5694,915,48.8467,20.7699,521,175.137,0.525,0.54,0.213,394,7,3,4,2,1,11.894,22.728,213,1096
AL2,4,AL,CA3,0.9494,356,27.8704,12.1461,338,79.841,0.839,0.774,0.666,18,3,1,3,1,0,9.047,19.899,685,371
AL2,4,AL,CA3,0.9002,451,36.4005,14.6903,406,97.397,0.807,0.565,0.538,45,5,2,3,1,1,8.76,17.071,314,590
AL2,4,AL,CA3,0.5238,2398,73.7223,33.5669,1256,408.943,0.5,0.619,0.094,1142,28,14,13,13,1,9.194,24.899,1521,956
AL2,4,AL,CA3,0.4869,4321,89.1964,40.0053,2104,593.11,0.47,0.683,0.075,2217,32,16,14,14,2,11.539,30.314,1206,1375
AL2,4,AL,CA3,0.8013,1681,62.1475,26.2353,1347,197.48,0.759,0.779,0.434,334,6,2,5,1,1,21.452,34.437,1431,566
AL2,4,AL,CA3,0.986,712,35.117,15.749,702,107.882,0.908,0.877,0.758,10,3,1,3,1,0,8.909,16.485,1385,309
AL2,4,AL,CA3,0.6823,787,44.7506,20.4204,537,157.38,0.62,0.443,0.272,250,7,3,4,2,1,12.002,22.899,213,1144
