Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS5,2,CS,CA3,2112,59.58,32.428,59.58,32.428,389.73,82.767,32.49,179.466,0.175,2.547,0.393,0.603
CS5,2,CS,CA3,1024,57.358,34.36,57.358,34.36,339.061,57.046,22.855,20.535,0.112,2.496,0.401,0.474
CS5,2,CS,CA3,955,42.306,33.447,42.306,33.447,286.576,55.515,21.903,136.005,0.146,2.535,0.395,0.528
CS5,2,CS,CA3,508,29.673,20.096,29.673,20.096,154.167,29.236,22.124,103.439,0.269,1.321,0.757,0.557
CS5,2,CS,CA3,710,32.363,18.703,32.363,18.703,129.054,45.101,20.044,174.63,0.536,2.25,0.444,0.831
CS5,2,CS,CA3,1740,69.994,45.855,69.994,45.855,645.72,69.257,31.989,179.087,0.052,2.165,0.462,0.327
CS5,2,CS,CA3,732,32.529,32.973,32.529,32.973,275.706,38.066,24.484,37.347,0.121,1.555,0.643,0.429
CS5,2,CS,CA3,1256,52.196,40.869,52.196,40.869,341.304,42.63,37.513,135.62,0.135,1.136,0.88,0.415
CS5,2,CS,CA3,646,26.006,22.577,26.006,22.577,109.296,30.568,26.908,25.505,0.68,1.136,0.88,0.84
CS5,2,CS,CA3,901,25.89,35.56,25.89,35.56,131.782,38.659,29.675,130.17,0.652,1.303,0.768,0.89
CS5,2,CS,CA3,990,27.377,30.589,27.377,30.589,143.823,39.034,32.293,84.686,0.601,1.209,0.827,0.831
CS5,2,CS,CA3,782,45.925,25.781,45.925,25.781,193.865,55.291,18.008,16.895,0.261,3.07,0.326,0.581
CS5,2,CS,CA3,2151,72.234,36.765,72.234,36.765,756.288,78.69,34.804,1.556,0.047,2.261,0.442,0.36
CS5,2,CS,CA3,805,54.888,33.816,54.888,33.816,295.99,42.548,24.09,8.338,0.115,1.766,0.566,0.343
CS5,2,CS,CA3,581,28.855,27.59,28.855,27.59,109.882,39.873,18.553,172.938,0.605,2.149,0.465,0.877
CS5,3,CS,CA3,2017,47.606,51.834,47.606,51.834,663.879,60.667,42.332,155.824,0.058,1.433,0.698,0.413
CS5,3,CS,CA3,1597,50.682,50.993,50.682,50.993,404.115,56.107,36.241,157.596,0.123,1.548,0.646,0.501
CS5,3,CS,CA3,1526,29.845,52.728,29.845,52.728,504.926,59.131,32.859,100.287,0.075,1.8,0.556,0.526
CS5,3,CS,CA3,2857,46.053,57.062,46.053,57.062,518.683,72.84,49.941,112.976,0.133,1.459,0.686,0.581
CS5,3,CS,CA3,1317,42.264,40.128,42.264,40.128,250.635,69.561,24.106,155.5,0.263,2.886,0.347,0.64
CS5,3,CS,CA3,768,29.801,35.348,29.801,35.348,148.167,58.19,16.804,119.855,0.44,3.463,0.289,0.806
CS5,3,CS,CA3,989,27.164,28.179,27.164,28.179,165.238,45.442,27.711,57.609,0.455,1.64,0.61,0.762
CS5,3,CS,CA3,720,30.185,27.712,30.185,27.712,165.137,35.258,26,130.209,0.332,1.356,0.737,0.625
CS5,3,CS,CA3,1848,45.772,49.741,45.772,49.741,449.085,65.402,35.977,147.717,0.115,1.818,0.55,0.56
CS5,3,CS,CA3,1378,52.842,38.771,52.842,38.771,318.919,63.219,27.753,166.668,0.17,2.278,0.439,0.544
CS5,3,CS,CA3,1806,52.226,39.06,52.226,39.06,515.068,65.315,35.206,35.942,0.086,1.855,0.539,0.473
CS5,3,CS,CA3,1531,45.471,46.402,45.471,46.402,317.404,51.639,37.749,65.299,0.191,1.368,0.731,0.552
CS5,3,CS,CA3,1150,31.003,39.197,31.003,39.197,240.25,48.82,29.992,108.332,0.25,1.628,0.614,0.604
CS5,3,CS,CA3,1505,39.878,51.044,39.878,51.044,305.848,66.081,28.998,122.45,0.202,2.279,0.439,0.616
CS5,3,CS,CA3,2288,42.478,59.009,42.478,59.009,663.092,71.762,40.595,106.202,0.065,1.768,0.566,0.452
CS5,4,CS,CA3,647,37.494,37.367,37.494,37.367,127.539,32.428,25.404,93.397,0.5,1.277,0.783,0.85
CS5,4,CS,CA3,1435,33.545,34.383,33.545,34.383,207.865,49.236,37.109,145.261,0.417,1.327,0.754,0.764
CS5,4,CS,CA3,1230,34.34,46.164,34.34,46.164,180.167,45.659,34.299,110.123,0.476,1.331,0.751,0.804
CS5,4,CS,CA3,195,29.526,21.223,29.526,21.223,82.77,34.148,7.271,173.317,0.358,4.697,0.213,0.707
CS5,4,CS,CA3,1453,52.917,49.144,52.917,49.144,363.161,77.86,23.761,57.784,0.138,3.277,0.305,0.442
CS5,4,CS,CA3,1048,68.383,35.935,68.383,35.935,292.09,62.593,21.318,139.595,0.154,2.936,0.341,0.51
CS5,4,CS,CA3,775,26.945,24.856,26.945,24.856,175.137,34.419,28.669,61.75,0.318,1.201,0.833,0.686
CS5,4,CS,CA3,1145,32.193,39.46,32.193,39.46,328.96,50.566,28.831,74.579,0.133,1.754,0.57,0.501
CS5,4,CS,CA3,1223,50.3,54.497,50.3,54.497,324.233,61.767,25.21,40.816,0.146,2.45,0.408,0.433
CS5,4,CS,CA3,535,34.393,22.293,34.393,22.293,161.681,44.386,15.347,9.252,0.257,2.892,0.346,0.584
CS5,4,CS,CA3,1846,66.95,32.382,66.95,32.382,190.652,58.103,40.452,170.863,0.638,1.436,0.696,0.906
CS5,4,CS,CA3,1158,59.58,38.674,59.58,38.674,250.291,52,28.354,164.973,0.232,1.834,0.545,0.619
CS5,4,CS,CA3,910,74.745,41.338,74.745,41.338,301.262,75.267,15.394,149.753,0.126,4.889,0.205,0.375
CS5,4,CS,CA3,615,33.533,37.224,33.533,37.224,138.024,34.971,22.391,47.878,0.406,1.562,0.64,0.747
CS5,4,CS,CA3,1250,55.222,57.47,55.222,57.47,511.754,50.738,31.368,74.953,0.06,1.617,0.618,0.307
CS5,1,CS,GD,1266,43.577,28.398,43.577,28.398,357.973,44.828,35.958,34.96,0.124,1.247,0.802,0.525
CS5,1,CS,GD,1467,29.368,66.009,29.368,66.009,383.789,63.564,29.385,93.013,0.125,2.163,0.462,0.504
CS5,1,CS,GD,1736,37.026,55.506,37.026,55.506,454.458,60.994,36.239,120.099,0.106,1.683,0.594,0.517
CS5,1,CS,GD,1950,46.568,71.342,46.568,71.342,394.316,70,35.469,74.066,0.158,1.974,0.507,0.459
CS5,1,CS,GD,650,39.28,31.926,39.28,31.926,163.823,56.063,14.762,151.212,0.304,3.798,0.263,0.686
CS5,1,CS,GD,868,46.717,33.903,46.717,33.903,191.137,63.239,17.476,171.656,0.299,3.619,0.276,0.652
CS5,1,CS,GD,1076,33.979,37.938,33.979,37.938,210.693,57.752,23.722,96.404,0.305,2.434,0.411,0.615
CS5,1,CS,GD,1282,42.477,39.941,42.477,39.941,357.647,56.684,28.796,11.226,0.126,1.968,0.508,0.445
CS5,1,CS,GD,1458,39.272,36.903,39.272,36.903,382.902,46.315,40.082,90.094,0.125,1.155,0.865,0.529
CS5,1,CS,GD,945,28.179,37.97,28.179,37.97,211.179,55.651,21.621,112.28,0.266,2.574,0.388,0.606
CS5,1,CS,GD,2561,44.878,82.744,44.878,82.744,766.046,101.816,32.026,105.744,0.055,3.179,0.315,0.394
CS5,1,CS,GD,713,24.773,28.587,24.773,28.587,210.108,35.67,25.451,56.78,0.203,1.402,0.714,0.555
CS5,1,CS,GD,1542,44.473,42.441,44.473,42.441,471.227,70.841,27.715,37.153,0.087,2.556,0.391,0.484
CS5,1,CS,GD,1287,47.723,33.179,47.723,33.179,238.936,81.108,20.203,155.425,0.283,4.015,0.249,0.747
CS5,1,CS,GD,1695,42.725,30.168,42.725,30.168,284.978,67.662,31.896,137.35,0.262,2.121,0.471,0.571
CS5,2,CS,GD,1239,40.286,47.279,40.286,47.279,358.86,61.031,25.848,61.404,0.121,2.361,0.424,0.538
CS5,2,CS,GD,1003,40.504,56.68,40.504,56.68,171.238,42.577,29.994,118.272,0.43,1.42,0.704,0.76
CS5,2,CS,GD,1598,34.477,54.217,34.477,54.217,382.073,55.583,36.605,110.903,0.138,1.518,0.659,0.523
CS5,2,CS,GD,1138,30.393,58.529,30.393,58.529,387.203,74.31,19.499,83.018,0.095,3.811,0.262,0.4
CS5,2,CS,GD,1216,61.716,68.456,61.716,68.456,441.47,75.28,20.567,23.745,0.078,3.66,0.273,0.412
CS5,2,CS,GD,2156,53.014,63.906,53.014,63.906,476.784,62.57,43.872,137.681,0.119,1.426,0.701,0.635
CS5,2,CS,GD,1186,49.495,39.567,49.495,39.567,335.747,52.174,28.943,45.466,0.132,1.803,0.555,0.537
CS5,2,CS,GD,802,48.933,33.323,48.933,33.323,158.652,40.4,25.276,102.282,0.4,1.598,0.626,0.763
CS5,2,CS,GD,499,27.382,28.991,27.382,28.991,107.74,41.132,15.447,100.765,0.54,2.663,0.376,0.844
CS5,2,CS,GD,596,22.973,26.154,22.973,26.154,112.953,39.572,19.176,142.576,0.587,2.064,0.485,0.852
CS5,2,CS,GD,536,24.586,25.509,24.586,25.509,113.64,36.413,18.742,85.137,0.522,1.943,0.515,0.794
CS5,2,CS,GD,583,22.016,44.907,22.016,44.907,156.953,48.853,15.194,92.737,0.297,3.215,0.311,0.599
CS5,2,CS,GD,2146,61.238,43.344,61.238,43.344,529.21,78.369,34.865,167.507,0.096,2.248,0.445,0.489
CS5,2,CS,GD,1610,40.232,40.545,40.232,40.545,266.534,75.709,27.076,138.883,0.285,2.796,0.358,0.644
CS5,2,CS,GD,738,49.608,41.817,49.608,41.817,233.706,50.603,18.569,57.006,0.17,2.725,0.367,0.518
CS5,3,CS,GD,957,35.75,42.003,35.75,42.003,200.35,41.924,29.064,48.801,0.3,1.442,0.693,0.616
CS5,3,CS,GD,454,25.533,23.57,25.533,23.57,80.426,27.044,21.375,17.931,0.882,1.265,0.79,0.95
CS5,3,CS,GD,1784,39.74,42.995,39.74,42.995,451.914,61.206,37.112,137.689,0.11,1.649,0.606,0.563
CS5,3,CS,GD,2050,52.686,56.163,52.686,56.163,585.879,71.711,36.398,132.684,0.075,1.97,0.508,0.496
CS5,3,CS,GD,1182,42.805,36.085,42.805,36.085,402.659,45.903,32.786,3.741,0.092,1.4,0.714,0.366
CS5,3,CS,GD,1385,55.042,35.239,55.042,35.239,357.345,65.877,26.769,131.912,0.136,2.461,0.406,0.517
CS5,3,CS,GD,692,41.751,25.835,41.751,25.835,174.894,36.297,24.274,154.735,0.284,1.495,0.669,0.708
CS5,3,CS,GD,509,29.687,18.545,29.687,18.545,89.054,29.495,21.973,124.102,0.807,1.342,0.745,0.906
CS5,3,CS,GD,489,19.801,24.187,19.801,24.187,97.296,31.386,19.837,142.472,0.649,1.582,0.632,0.855
CS5,3,CS,GD,353,28.282,26.797,28.282,26.797,91.983,28.888,15.559,96.229,0.524,1.857,0.539,0.8
CS5,3,CS,GD,580,40.621,27.555,40.621,27.555,200.108,36.852,20.039,19.219,0.182,1.839,0.544,0.496
CS5,3,CS,GD,1261,37.453,47.794,37.453,47.794,447.512,42.989,37.348,82.242,0.079,1.151,0.869,0.355
CS5,3,CS,GD,2676,68.953,57.265,68.953,57.265,641.637,73.099,46.61,43.702,0.082,1.568,0.638,0.429
CS5,3,CS,GD,1643,47.292,52.02,47.292,52.02,491.411,73.606,28.421,120.834,0.085,2.59,0.386,0.378
CS5,3,CS,GD,559,45.643,54.847,45.643,54.847,210.392,38.882,18.305,77.463,0.159,2.124,0.471,0.413
CS5,4,CS,GD,630,41.983,37.333,41.983,37.333,154.995,44.967,17.838,47.829,0.33,2.521,0.397,0.767
CS5,4,CS,GD,622,35.436,39.728,35.436,39.728,157.238,30.55,25.923,37.74,0.316,1.179,0.849,0.688
CS5,4,CS,GD,605,35.923,39.515,35.923,39.515,140.024,35.238,21.86,84.756,0.388,1.612,0.62,0.724
CS5,4,CS,GD,1399,29.682,32.543,29.682,32.543,299.061,58.25,30.58,101.092,0.197,1.905,0.525,0.679
CS5,4,CS,GD,769,24.287,49.266,24.287,49.266,140.024,36.509,26.819,124.284,0.493,1.361,0.735,0.824
CS5,4,CS,GD,1067,21.197,32.338,21.197,32.338,185.137,47.52,28.589,99.034,0.391,1.662,0.602,0.713
CS5,4,CS,GD,725,24.733,47.151,24.733,47.151,170.066,39.649,23.282,99.68,0.315,1.703,0.587,0.71
CS5,4,CS,GD,739,29.6,41.813,29.6,41.813,264.392,36.123,26.048,173.819,0.133,1.387,0.721,0.556
CS5,4,CS,GD,892,29.844,37.907,29.844,37.907,260.676,41.628,27.283,96.219,0.165,1.526,0.655,0.579
CS5,4,CS,GD,603,38.066,25.742,38.066,25.742,120.953,36.229,21.192,23.143,0.518,1.71,0.585,0.854
CS5,4,CS,GD,671,36.189,31.969,36.189,31.969,166.309,43.972,19.429,77.707,0.305,2.263,0.442,0.675
CS5,4,CS,GD,590,35.498,33.72,35.498,33.72,171.238,58.525,12.836,74.186,0.253,4.559,0.219,0.626
CS5,4,CS,GD,1030,30.623,25.883,30.623,25.883,212.35,43.064,30.453,7.513,0.287,1.414,0.707,0.692
CS5,4,CS,GD,1910,64.409,46.585,64.409,46.585,567.21,64.037,37.976,41.528,0.075,1.686,0.593,0.496
CS5,4,CS,GD,2403,48.778,41.545,48.778,41.545,669.536,70.544,43.372,26.702,0.067,1.626,0.615,0.491
CL1,1,CL,CA1,2057,69.583,46.358,69.583,46.358,308.475,79.972,32.749,171.883,0.272,2.442,0.41,0.698
CL1,1,CL,CA1,523,28.687,29.446,28.687,29.446,114.811,44.055,15.115,93.571,0.499,2.915,0.343,0.808
CL1,1,CL,CA1,860,37.773,48.247,37.773,48.247,249.563,45.857,23.878,123.544,0.174,1.92,0.521,0.547
CL1,1,CL,CA1,484,27.506,27.789,27.506,27.789,95.74,38.275,16.1,154.253,0.664,2.377,0.421,0.905
CL1,1,CL,CA1,634,22.672,27.541,22.672,27.541,101.64,35.217,22.922,150.202,0.771,1.536,0.651,0.934
CL1,1,CL,CA1,478,29.665,38.027,29.665,38.027,159.48,45.314,13.431,153.12,0.236,3.374,0.296,0.569
CL1,1,CL,CA1,494,39.836,25.265,39.836,25.265,184.35,47.242,13.314,42.776,0.183,3.548,0.282,0.536
CL1,1,CL,CA1,312,35.135,31.606,35.135,31.606,106.225,26.665,14.898,49.913,0.347,1.79,0.559,0.612
CL1,1,CL,CA1,576,27.182,42.023,27.182,42.023,181.966,40.403,18.152,100.599,0.219,2.226,0.449,0.508
CL1,1,CL,CA1,947,51.024,36.298,51.024,36.298,289.605,40.747,29.591,31.542,0.142,1.377,0.726,0.578
CL1,1,CL,CA1,1318,60.467,30.408,60.467,30.408,467.813,57.281,29.296,173.717,0.076,1.955,0.511,0.382
CL1,1,CL,CA1,760,20.972,42.195,20.972,42.195,182.995,57.007,16.975,96.739,0.285,3.358,0.298,0.63
CL1,1,CL,CA1,807,35.564,55.405,35.564,55.405,244.492,54.404,18.887,73.937,0.17,2.881,0.347,0.508
CL1,1,CL,CA1,981,53.216,53.992,53.216,53.992,300.576,37.949,32.914,8.525,0.136,1.153,0.867,0.503
CL1,1,CL,CA1,1086,40.727,47.335,40.727,47.335,396.843,67.95,20.349,63.179,0.087,3.339,0.299,0.456
CL1,2,CL,CA1,481,45.213,41.843,45.213,41.843,140.752,38.419,15.941,33.77,0.305,2.41,0.415,0.729
CL1,2,CL,CA1,566,38.634,44.47,38.634,44.47,141.681,46.79,15.402,80.922,0.354,3.038,0.329,0.729
CL1,2,CL,CA1,619,35.494,42.413,35.494,42.413,123.439,45.103,17.474,31.523,0.511,2.581,0.387,0.77
CL1,2,CL,CA1,811,25.22,43.086,25.22,43.086,206.693,33.596,30.736,37.046,0.239,1.093,0.915,0.497
CL1,2,CL,CA1,642,33.751,47.419,33.751,47.419,168.167,45.697,17.888,122.219,0.285,2.555,0.391,0.759
CL1,2,CL,CA1,936,31.851,49.524,31.851,49.524,212.066,55.563,21.449,63.133,0.262,2.59,0.386,0.573
CL1,2,CL,CA1,1038,30.361,42.959,30.361,42.959,253.463,48.862,27.048,39.554,0.203,1.807,0.554,0.628
CL1,2,CL,CA1,865,34.796,51.358,34.796,51.358,326.191,58.5,18.827,110.286,0.102,3.107,0.322,0.345
CL1,2,CL,CA1,1008,35.389,55.675,35.389,55.675,255.806,51.605,24.87,3.893,0.194,2.075,0.482,0.555
CL1,2,CL,CA1,1385,32.556,51.302,32.556,51.302,384.115,47.328,37.26,110.484,0.118,1.27,0.787,0.531
CL1,2,CL,CA1,868,37.857,37.126,37.857,37.126,204.35,52.368,21.104,0.539,0.261,2.481,0.403,0.609
CL1,2,CL,CA1,1919,39.957,40.587,39.957,40.587,503.512,55.919,43.695,35.701,0.095,1.28,0.781,0.554
CL1,2,CL,CA1,2000,53.709,41.356,53.709,41.356,535.654,69.931,36.414,27.425,0.088,1.92,0.521,0.497
CL1,2,CL,CA1,541,54.705,41.489,54.705,41.489,175.966,48.305,14.26,67.871,0.22,3.387,0.295,0.635
CL1,2,CL,CA1,207,29.548,39.611,29.548,39.611,64.184,25.45,10.356,59.579,0.631,2.457,0.407,0.838
CL1,3,CL,CA1,875,48.924,29.501,48.924,29.501,257.362,64.441,17.288,6.434,0.166,3.727,0.268,0.484
CL1,3,CL,CA1,821,50.694,33.153,50.694,33.153,252.735,47.782,21.877,158.173,0.162,2.184,0.458,0.524
CL1,3,CL,CA1,1710,52.152,65.635,52.152,65.635,611.394,52.798,41.237,108.989,0.057,1.28,0.781,0.347
CL1,3,CL,CA1,1102,56.24,27.788,56.24,27.788,173.338,45.073,31.13,122.498,0.461,1.448,0.691,0.851
CL1,3,CL,CA1,1482,44.666,50.628,44.666,50.628,415.73,47.057,40.099,19.801,0.108,1.174,0.852,0.407
CL1,3,CL,CA1,1069,49.564,38.598,49.564,38.598,459.026,44.713,30.44,106.026,0.064,1.469,0.681,0.356
CL1,3,CL,CA1,1177,47.956,48.529,47.956,48.529,428.014,57.916,25.876,151.962,0.081,2.238,0.447,0.401
CL1,3,CL,CA1,627,34.082,37.64,34.082,37.64,222.593,43.267,18.451,72.286,0.159,2.345,0.426,0.439
CL1,3,CL,CA1,728,32.685,40.812,32.685,40.812,210.208,56.711,16.345,81.748,0.207,3.47,0.288,0.56
CL1,3,CL,CA1,1310,43.86,39.654,43.86,39.654,225.279,53.642,31.094,90.516,0.324,1.725,0.58,0.77
CL1,3,CL,CA1,610,34.761,25.861,34.761,25.861,99.497,35.046,22.162,100.225,0.774,1.581,0.632,0.919
CL1,3,CL,CA1,764,38.491,27.619,38.491,27.619,113.154,39.769,24.46,111.951,0.75,1.626,0.615,0.907
CL1,3,CL,CA1,564,39.574,28.326,39.574,28.326,148.61,43.382,16.553,102.723,0.321,2.621,0.382,0.768
CL1,3,CL,CA1,994,37.864,26.438,37.864,26.438,306.919,45.473,27.832,162.764,0.133,1.634,0.612,0.589
CL1,3,CL,CA1,923,28.119,28.497,28.119,28.497,142.853,42.394,27.721,108.548,0.568,1.529,0.654,0.796
CL1,4,CL,CA1,489,23.66,26.762,23.66,26.762,86.669,30.553,20.378,76.08,0.818,1.499,0.667,0.926
CL1,4,CL,CA1,507,23.023,26.928,23.023,26.928,94.225,29.354,21.991,96.423,0.718,1.335,0.749,0.882
CL1,4,CL,CA1,681,29.758,34.612,29.758,34.612,172.752,47.449,18.274,59.564,0.287,2.597,0.385,0.56
CL1,4,CL,CA1,680,24.543,32.876,24.543,32.876,105.054,34.124,25.372,27.184,0.774,1.345,0.744,0.915
CL1,4,CL,CA1,775,22.971,30.562,22.971,30.562,179.823,48.643,20.286,106.788,0.301,2.398,0.417,0.744
CL1,4,CL,CA1,722,34.663,29.357,34.663,29.357,252.978,35.262,26.07,14.664,0.142,1.353,0.739,0.528
CL1,4,CL,CA1,565,34.358,26.516,34.358,26.516,118.711,29.906,24.055,99.142,0.504,1.243,0.804,0.826
CL1,4,CL,CA1,338,13.328,22.234,13.328,22.234,81.355,30.642,14.044,84.673,0.642,2.182,0.458,0.894
CL1,4,CL,CA1,967,29.897,21.379,29.897,21.379,193.966,39.772,30.957,9.123,0.323,1.285,0.778,0.781
CL1,4,CL,CA1,1689,31.195,64.436,31.195,64.436,367.304,90.695,23.711,108.151,0.157,3.825,0.261,0.513
CL1,4,CL,CA1,301,18.699,16.47,18.699,16.47,71.74,24.679,15.529,136.191,0.735,1.589,0.629,0.861
CL1,4,CL,CA1,479,35.387,28.139,35.387,28.139,89.255,34.892,17.479,104.797,0.756,1.996,0.501,0.931
CL1,4,CL,CA1,801,35.87,28.147,35.87,28.147,302.274,33.252,30.67,79.414,0.11,1.084,0.922,0.482
CL1,4,CL,CA1,723,28.117,29.909,28.117,29.909,315.931,36.355,25.321,135.605,0.091,1.436,0.697,0.481
CL1,4,CL,CA1,1606,32.108,67.349,32.108,67.349,473.855,67.378,30.349,88.148,0.09,2.22,0.45,0.412
CL1,1,CL,CA3,325,24.534,21.891,24.534,21.891,81.598,25.573,16.181,69.16,0.613,1.58,0.633,0.823
CL1,1,CL,CA3,1265,32.952,43.62,32.952,43.62,423.044,51.087,31.528,85.789,0.089,1.62,0.617,0.368
CL1,1,CL,CA3,960,42.011,47.365,42.011,47.365,312.818,47.199,25.897,25.466,0.123,1.823,0.549,0.489
CL1,1,CL,CA3,537,46.081,40.338,46.081,40.338,133.439,33.702,20.287,7.014,0.379,1.661,0.602,0.647
CL1,1,CL,CA3,866,48.304,45.24,48.304,45.24,334.96,47.377,23.273,7.191,0.097,2.036,0.491,0.422
CL1,1,CL,CA3,1732,48.943,38.38,48.943,38.38,545.595,64.001,34.457,147.859,0.073,1.857,0.538,0.426
CL1,1,CL,CA3,1219,36.877,56.26,36.877,56.26,424.642,63.801,24.327,103.681,0.085,2.623,0.381,0.384
CL1,1,CL,CA3,885,35.325,30.937,35.325,30.937,269.22,49.004,22.994,8.812,0.153,2.131,0.469,0.586
CL1,1,CL,CA3,1688,45.537,55.528,45.537,55.528,591.394,64.046,33.558,101.959,0.061,1.909,0.524,0.473
CL1,1,CL,CA3,1302,43.706,57.769,43.706,57.769,344.818,58.062,28.552,5.708,0.138,2.034,0.492,0.541
CL1,1,CL,CA3,1744,56.693,40.064,56.693,40.064,518.382,53.924,41.179,155.556,0.082,1.309,0.764,0.487
CL1,1,CL,CA3,790,46.819,39.765,46.819,39.765,138.024,44.438,22.635,40.126,0.521,1.963,0.509,0.829
CL1,1,CL,CA3,274,22.92,40.511,22.92,40.511,64.77,22.268,15.667,76.992,0.821,1.421,0.704,0.913
CL1,1,CL,CA3,555,26.995,33.705,26.995,33.705,131.782,34.074,20.739,158.902,0.402,1.643,0.609,0.793
CL1,1,CL,CA3,1249,34.431,36.699,34.431,36.699,251.362,54.76,29.041,28.996,0.248,1.886,0.53,0.681
CL1,2,CL,CA3,1665,52.866,41.598,52.866,41.598,403.529,67.679,31.324,0.738,0.128,2.161,0.463,0.555
CL1,2,CL,CA3,1409,57.287,45.325,57.287,45.325,507.855,51.679,34.714,53.425,0.069,1.489,0.672,0.391
CL1,2,CL,CA3,1277,76.002,46.839,76.002,46.839,472.541,43.789,37.131,177.976,0.072,1.179,0.848,0.468
CL1,2,CL,CA3,1307,50.563,37.808,50.563,37.808,452.985,46.204,36.017,68.246,0.08,1.283,0.78,0.493
CL1,2,CL,CA3,849,51.79,39.559,51.79,39.559,165.581,51.052,21.174,2.19,0.389,2.411,0.415,0.739
CL1,2,CL,CA3,986,56.488,30.673,56.488,30.673,202.108,44.961,27.922,70.281,0.303,1.61,0.621,0.693
CL1,2,CL,CA3,687,57.941,39.839,57.941,39.839,135.439,45.468,19.238,92.126,0.471,2.363,0.423,0.772
CL1,2,CL,CA3,2344,91.703,49.879,91.703,49.879,875.886,112.354,26.563,25.806,0.038,4.23,0.236,0.367
CL1,2,CL,CA3,1047,35.611,40.261,35.611,40.261,213.622,56.928,23.417,158.716,0.288,2.431,0.411,0.757
CL1,2,CL,CA3,1789,52.31,32.17,52.31,32.17,416.943,59.223,38.462,18.132,0.129,1.54,0.649,0.524
CL1,2,CL,CA3,593,43.045,37.552,43.045,37.552,101.397,32.789,23.027,49.178,0.725,1.424,0.702,0.887
CL1,2,CL,CA3,712,34.721,33.749,34.721,33.749,208.35,61.618,14.712,149.026,0.206,4.188,0.239,0.578
CL1,2,CL,CA3,1260,36.273,35.371,36.273,35.371,251.321,54.402,29.49,29.821,0.251,1.845,0.542,0.646
CL1,2,CL,CA3,790,42.957,38.839,42.957,38.839,143.439,41.837,24.042,25.408,0.483,1.74,0.575,0.761
CL1,2,CL,CA3,1560,63.316,38.665,63.316,38.665,300.676,76.155,26.082,15.628,0.217,2.92,0.342,0.643
CL1,3,CL,CA3,1213,40.977,36.559,40.977,36.559,303.404,45.693,33.801,77.926,0.166,1.352,0.74,0.547
CL1,3,CL,CA3,939,38.779,34.085,38.779,34.085,212.936,42.692,28.004,27.665,0.26,1.524,0.656,0.653
CL1,3,CL,CA3,1183,37.019,50.404,37.019,50.404,320.132,76.946,19.575,57.794,0.145,3.931,0.254,0.543
CL1,3,CL,CA3,705,22.924,31.872,22.924,31.872,101.74,32.212,27.866,95.028,0.856,1.156,0.865,0.943
CL1,3,CL,CA3,937,33.038,30.574,33.038,30.574,233.463,42.128,28.319,152.56,0.216,1.488,0.672,0.659
CL1,3,CL,CA3,1217,39.335,32.684,39.335,32.684,288.191,56.984,27.192,178.807,0.184,2.096,0.477,0.604
CL1,3,CL,CA3,504,47.94,29.315,47.94,29.315,146.752,29.896,21.465,30.176,0.294,1.393,0.718,0.655
CL1,3,CL,CA3,469,42.931,30.918,42.931,30.918,113.882,45.791,13.041,25.983,0.454,3.511,0.285,0.8
CL1,3,CL,CA3,784,42.327,31.904,42.327,31.904,135.196,45.933,21.732,22.846,0.539,2.114,0.473,0.832
CL1,3,CL,CA3,586,41.015,31.469,41.015,31.469,164.652,46.199,16.15,58.624,0.272,2.861,0.35,0.689
CL1,3,CL,CA3,926,35.992,35.043,35.992,35.043,143.823,43.314,27.22,37.137,0.563,1.591,0.628,0.808
CL1,3,CL,CA3,535,35.341,26.128,35.341,26.128,139.681,36.647,18.588,149.866,0.345,1.972,0.507,0.667
CL1,3,CL,CA3,1372,55.832,46.629,55.832,46.629,468.24,70.683,24.714,40.162,0.079,2.86,0.35,0.511
CL1,3,CL,CA3,1827,48.078,52.966,48.078,52.966,639.578,62.962,36.946,22.305,0.056,1.704,0.587,0.382
CL1,3,CL,CA3,1199,48.788,41.767,48.788,41.767,376.902,48.62,31.399,44.203,0.106,1.548,0.646,0.509
CL1,4,CL,CA3,748,32.493,28.715,32.493,28.715,192.693,40.835,23.323,98.359,0.253,1.751,0.571,0.615
CL1,4,CL,CA3,1426,44.603,34.536,44.603,34.536,371.387,52.508,34.579,131.472,0.13,1.519,0.659,0.614
CL1,4,CL,CA3,1240,53.09,37.192,53.09,37.192,454.399,45.285,34.864,163.94,0.075,1.299,0.77,0.456
CL1,4,CL,CA3,1832,69.752,42.521,69.752,42.521,585.637,81.55,28.603,159.904,0.067,2.851,0.351,0.41
CL1,4,CL,CA3,1524,32.257,53.121,32.257,53.121,366.801,59.534,32.593,99.71,0.142,1.827,0.547,0.439
CL1,4,CL,CA3,1252,40.198,43.494,40.198,43.494,412.257,52.626,30.291,123.993,0.093,1.737,0.576,0.397
CL1,4,CL,CA3,917,45.317,56.395,45.317,56.395,305.99,68.283,17.099,146.658,0.123,3.993,0.25,0.411
CL1,4,CL,CA3,665,50.715,56.747,50.715,56.747,172.551,52.993,15.978,105.3,0.281,3.317,0.302,0.59
CL1,4,CL,CA3,1255,48.648,47.897,48.648,47.897,359.73,50.703,31.515,56.136,0.122,1.609,0.622,0.399
CL1,4,CL,CA3,2747,49.189,66.925,49.189,66.925,775.845,80.935,43.215,102.722,0.057,1.873,0.534,0.505
