Animal,Corte,Grupo,Region,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
CS3,3,CS,GD,945,46.396,34.716,46.396,34.716,207.865,48.013,25.06,105.764,0.275,1.916,0.522,0.631
CS3,3,CS,GD,1895,45.076,79.805,45.076,79.805,447.37,86.003,28.055,105.268,0.119,3.066,0.326,0.528
CS3,4,CS,GD,735,38.805,30.44,38.805,30.44,159.823,37.16,25.184,17.584,0.362,1.476,0.678,0.713
CS3,4,CS,GD,602,27.012,28.995,27.012,28.995,128.51,39.025,19.641,47.197,0.458,1.987,0.503,0.838
CS3,4,CS,GD,1547,42.47,58.14,42.47,58.14,453.571,58.687,33.563,132.692,0.094,1.749,0.572,0.489
CS3,4,CS,GD,571,20.4,24.768,20.4,24.768,124.024,31.781,22.876,59.792,0.466,1.389,0.72,0.769
CS3,4,CS,GD,1098,27.081,28.76,27.081,28.76,171.095,40.425,34.583,91.29,0.471,1.169,0.855,0.75
CS3,4,CS,GD,433,31.368,22.643,31.368,22.643,162.551,39.562,13.935,12.544,0.206,2.839,0.352,0.495
CS3,4,CS,GD,1080,73.142,35.591,73.142,35.591,232.35,52.529,26.178,12.918,0.251,2.007,0.498,0.597
CS3,4,CS,GD,1146,30.872,41.293,30.872,41.293,210.936,48.129,30.317,88.641,0.324,1.587,0.63,0.661
CS3,4,CS,GD,523,17.202,23.37,17.202,23.37,106.225,40.138,16.59,130.15,0.582,2.419,0.413,0.828
CS3,4,CS,GD,516,17.32,19.403,17.32,19.403,87.841,29.516,22.259,120.664,0.84,1.326,0.754,0.938
CS3,4,CS,GD,863,20.621,32.806,20.621,32.806,151.095,43.371,25.335,94.101,0.475,1.712,0.584,0.799
CS3,4,CS,GD,584,25.865,26.623,25.865,26.623,91.74,29.577,25.14,157.615,0.872,1.176,0.85,0.935
CS3,4,CS,GD,489,18.373,17.044,18.373,17.044,94.912,34.063,18.278,130.157,0.682,1.864,0.537,0.891
CS3,4,CS,GD,472,23.292,20.684,23.292,20.684,85.841,27.512,21.844,138.677,0.805,1.259,0.794,0.922
CS3,4,CS,GD,824,29.575,26.779,29.575,26.779,254.049,33.512,31.306,77.598,0.16,1.07,0.934,0.574
CS4,1,CS,CA1,1280,51.207,37.977,51.207,37.977,323.747,48.02,33.939,177.448,0.153,1.415,0.707,0.564
CS4,1,CS,CA1,362,23.334,34.843,23.334,34.843,121.539,33.601,13.717,90.617,0.308,2.45,0.408,0.667
CS4,1,CS,CA1,1357,58.093,42.076,58.093,42.076,403.286,54.006,31.993,163.979,0.105,1.688,0.592,0.478
CS4,1,CS,CA1,2092,45.517,76.987,45.517,76.987,518.056,85.73,31.07,135.484,0.098,2.759,0.362,0.437
CS4,1,CS,CA1,714,34.146,61.34,34.146,61.34,262.635,47.807,19.016,88.305,0.13,2.514,0.398,0.499
CS4,1,CS,CA1,672,25.283,53.281,25.283,53.281,209.865,41.038,20.85,86.479,0.192,1.968,0.508,0.543
CS4,1,CS,CA1,2279,100.003,59.284,100.003,59.284,566.524,80.415,36.084,31.115,0.089,2.229,0.449,0.48
