Animal,Corte,Grupo,Region,Branches,Junctions,End.point.voxels,Juncction.voxels,Slab.voxels,Average.branch.length,Triple.points,Quadruple.points,Maximum.branch.length
AS5,4,AS,CA1,9,4,6,13,66,10.668,4,0,23.728
AS5,4,AS,CA1,29,14,13,54,175,9.926,12,1,23.485
AS5,4,AS,CA1,9,4,6,13,91,13.657,4,0,38.799
AS5,4,AS,CA1,8,3,6,13,82,14.496,2,1,33.314
AS5,4,AS,CA1,5,2,4,7,51,14.271,2,0,21.899
AS5,4,AS,CA1,14,6,7,25,86,10.32,5,0,23.556
AS5,4,AS,CA1,5,2,4,4,40,12.051,2,0,18.728
AS5,4,AS,CA1,6,2,5,6,82,17.916,1,1,43.213
AS5,4,AS,CA1,11,5,6,17,114,14.246,4,1,41.627
AS5,4,AS,CA1,33,15,19,50,201,9.478,13,2,32.213
AS5,1,AS,CA3,11,5,7,14,120,15.046,5,0,47.213
AS5,1,AS,CA3,3,1,3,3,71,29.614,1,0,61.113
AS5,1,AS,CA3,6,2,5,9,60,15.288,1,1,30.385
AS5,1,AS,CA3,5,2,4,7,66,17.602,2,0,34.314
AS5,1,AS,CA3,20,9,11,39,148,11.48,7,2,23.728
AS5,1,AS,CA3,3,1,3,4,18,8.495,1,0,12.828
AS5,1,AS,CA3,3,1,3,3,43,19.452,1,0,29.971
AS5,1,AS,CA3,9,4,6,9,182,25.644,4,0,44.698
AS5,1,AS,CA3,5,2,4,7,76,19.685,2,0,35.142
AS5,1,AS,CA3,14,6,9,20,111,11.969,5,1,25.385
AS5,1,AS,CA3,27,12,16,38,247,13.127,10,2,34.314
AS5,1,AS,CA3,21,11,9,34,128,9.524,11,0,23.971
AS5,1,AS,CA3,11,5,6,19,102,13.412,4,1,43.799
AS5,1,AS,CA3,11,5,7,15,89,11.393,5,0,37.899
AS5,1,AS,CA3,21,9,13,32,176,12.321,7,2,43.314
AS5,2,AS,CA3,14,6,9,17,86,9.497,5,1,19.314
AS5,2,AS,CA3,7,3,5,8,75,13.967,3,0,33.899
AS5,2,AS,CA3,16,7,9,30,143,13.044,5,2,32.314
AS5,2,AS,CA3,10,5,5,17,152,20.258,5,0,53.456
AS5,2,AS,CA3,22,11,9,46,171,12.028,9,2,26.142
AS5,2,AS,CA3,11,5,7,13,107,13.639,5,0,33.728
AS5,2,AS,CA3,5,2,4,6,45,13.202,2,0,27.213
AS5,2,AS,CA3,8,3,6,15,53,11.379,2,1,26.899
AS5,2,AS,CA3,11,5,6,20,73,10.845,4,1,18.314
AS5,2,AS,CA3,13,6,8,15,99,11.124,6,0,21.142
AS5,2,AS,CA3,20,10,10,34,157,11.388,10,0,29.556
AS5,2,AS,CA3,12,5,8,18,119,14.416,4,1,42.213
AS5,2,AS,CA3,7,3,5,8,131,23.446,3,0,40.627
AS5,2,AS,CA3,5,2,4,7,52,14.885,2,0,37.213
AS5,2,AS,CA3,19,9,10,37,123,10.228,8,1,19.899
AS5,3,AS,CA3,14,6,9,24,162,16.161,5,1,59.113
AS5,3,AS,CA3,16,7,10,21,142,12.943,6,1,34.627
AS5,3,AS,CA3,5,2,4,7,61,16.602,2,0,33.142
AS5,3,AS,CA3,15,7,9,24,95,9.532,7,0,21.243
AS5,3,AS,CA3,17,8,10,24,119,10.306,8,0,17.485
AS5,3,AS,CA3,7,3,5,10,84,16.071,3,0,40.627
AS5,3,AS,CA3,4,2,2,6,73,22.235,2,0,36.314
AS5,3,AS,CA3,3,1,3,4,41,16.909,1,0,29.485
AS5,3,AS,CA3,12,5,8,18,105,12.707,4,1,24.071
AS5,3,AS,CA3,3,1,3,3,58,23.761,1,0,55.627
AS5,3,AS,CA3,18,9,9,30,156,12.274,9,0,28.899
AS5,3,AS,CA3,1,0,2,0,40,48.042,0,0,48.042
AS5,3,AS,CA3,10,4,7,14,80,12.039,3,1,21.233
AS5,3,AS,CA3,3,1,3,1,96,39.351,1,0,59.698
AS5,3,AS,CA3,10,5,4,13,93,13.07,4,1,30.314
AS5,4,AS,CA3,17,8,9,29,120,10.916,7,1,21.142
AS5,4,AS,CA3,5,2,4,4,42,11.208,2,0,25.728
AS5,4,AS,CA3,4,1,4,4,60,20.269,0,1,34.385
AS5,4,AS,CA3,9,4,5,19,79,12.938,3,1,20.505
AS5,4,AS,CA3,5,2,4,8,18,6.594,2,0,13.071
AS5,4,AS,CA3,3,1,3,3,38,16.404,1,0,25.485
AS5,4,AS,CA3,5,2,4,5,99,24.431,2,0,35.385
AS5,4,AS,CA3,3,1,3,3,36,17.118,1,0,24.971
AS5,4,AS,CA3,3,1,3,3,72,30.499,1,0,39.456
AS5,4,AS,CA3,8,3,6,14,57,10.876,2,1,25.314
AS5,4,AS,CA3,9,4,6,12,62,10.619,4,0,22.142
AS5,4,AS,CA3,13,6,8,21,74,9.248,6,0,16.071
AS5,4,AS,CA3,3,1,3,4,54,23.395,1,0,61.113
AS5,4,AS,CA3,3,1,3,1,47,19.29,1,0,31.728
AS5,4,AS,CA3,18,8,10,29,117,10.098,6,2,26.071
AS5,1,AS,GD,8,3,6,13,77,14.372,2,1,40.971
AS5,1,AS,GD,3,1,3,3,34,16.038,1,0,21.728
AS5,1,AS,GD,29,14,14,44,217,11.096,13,0,27.728
AS5,1,AS,GD,12,6,4,21,79,10.426,5,0,17.314
AS5,1,AS,GD,7,3,5,11,75,14.751,3,0,33.971
AS5,1,AS,GD,7,3,5,7,124,22.244,3,0,59.113
AS5,1,AS,GD,14,6,9,22,134,13.671,5,1,27.385
AS5,1,AS,GD,1,0,2,0,13,16.899,0,0,16.899
AS5,1,AS,GD,20,9,12,26,124,9.594,8,1,26.071
AS5,1,AS,GD,9,4,6,12,114,16.949,4,0,49.042
AS5,1,AS,GD,9,4,5,10,82,12.462,3,1,29.971
AS5,1,AS,GD,24,11,13,31,183,11.101,9,2,29.799
AS5,1,AS,GD,1,0,2,0,45,55.527,0,0,55.527
AS5,1,AS,GD,22,10,11,42,187,12.671,7,3,32.964
AS5,1,AS,GD,1,0,2,0,19,23.314,0,0,23.314
AS5,2,AS,GD,14,6,9,14,128,12.839,5,1,31.385
AS5,2,AS,GD,14,7,6,21,114,11.94,6,1,31.627
AS5,2,AS,GD,1,0,2,0,14,17.899,0,0,17.899
AS5,2,AS,GD,21,10,11,36,215,14.243,9,1,37.213
AS5,2,AS,GD,7,3,5,9,63,12.573,3,0,19.071
AS5,2,AS,GD,21,9,11,35,191,13.478,5,4,35.213
AS5,2,AS,GD,16,8,8,30,160,14.295,8,0,44.556
AS5,2,AS,GD,16,7,9,22,191,16.737,5,2,37.971
AS5,2,AS,GD,9,4,6,13,63,10.197,4,0,19.657
AS5,2,AS,GD,15,7,8,25,141,13.427,6,1,29.142
AS5,2,AS,GD,7,3,5,7,70,13.702,3,0,36.213
AS5,2,AS,GD,4,2,2,6,69,23.081,2,0,64.941
AS5,2,AS,GD,12,6,6,17,88,11.183,6,0,28.385
AS5,2,AS,GD,6,2,5,8,63,14.363,1,1,24.899
AS5,2,AS,GD,5,2,4,6,59,15.92,2,0,35.385
AS5,3,AS,GD,13,6,7,22,97,11.131,5,1,19.243
AS5,3,AS,GD,16,7,10,22,110,10.624,6,1,29.55
AS5,3,AS,GD,3,1,3,3,24,10.633,1,0,19.657
AS5,3,AS,GD,1,0,2,0,10,12.657,0,0,12.657
AS5,3,AS,GD,10,4,7,17,81,11.783,3,1,46.799
AS5,3,AS,GD,13,6,7,18,110,12.292,5,1,42.385
AS5,3,AS,GD,15,7,8,23,112,10.957,6,1,18.899
AS5,3,AS,GD,18,9,8,28,158,12.839,8,1,32.213
AS5,3,AS,GD,19,9,11,22,136,10.543,9,0,42.627
AS5,3,AS,GD,13,5,9,21,76,9.432,3,2,22.071
AS5,3,AS,GD,7,3,5,9,65,13.628,3,0,28.627
AS5,3,AS,GD,14,6,8,27,123,12.904,4,2,31.556
AS5,3,AS,GD,3,1,3,3,76,32.109,1,0,80.012
AS5,3,AS,GD,8,3,6,10,71,13.027,2,1,37.284
AS5,3,AS,GD,5,2,4,7,52,13.643,2,0,25.728
AS5,4,AS,GD,31,15,16,46,184,9.296,14,1,27.971
AS5,4,AS,GD,7,3,5,11,84,15.894,3,0,32.728
AS5,4,AS,GD,7,3,5,9,74,14.855,3,0,27.728
AS5,4,AS,GD,15,7,8,26,116,11.658,6,1,24.142
AS5,4,AS,GD,11,5,7,15,117,14.918,5,0,28.385
AS5,4,AS,GD,11,5,7,18,72,10.045,5,0,24.142
AS5,4,AS,GD,9,4,6,9,88,12.898,4,0,22.243
AS5,4,AS,GD,9,4,6,13,55,9.584,4,0,17.314
AS5,4,AS,GD,3,1,3,4,24,11.6,1,0,23.728
AS5,4,AS,GD,19,10,6,43,149,12.817,8,2,25.799
AS5,4,AS,GD,15,7,7,25,97,10.086,5,2,22.062
AS5,4,AS,GD,3,1,3,4,27,11.966,1,0,26.071
AS5,4,AS,GD,12,5,8,15,117,13.708,4,1,42.213
AS5,4,AS,GD,1,0,2,0,47,55.87,0,0,55.87
AS5,4,AS,GD,3,1,3,4,20,10.128,1,0,15.728
AL1,1,AL,CA1,11,4,8,18,100,13.402,2,2,36.692
AL1,1,AL,CA1,6,3,3,7,89,19.33,3,0,33.971
AL1,1,AL,CA1,1,0,2,0,35,45.113,0,0,45.113
AL1,1,AL,CA1,5,2,4,7,85,22.397,2,0,51.698
AL1,1,AL,CA1,13,6,8,19,104,11.293,6,0,31.071
AL1,1,AL,CA1,3,1,3,4,47,20.014,1,0,27.485
AL1,1,AL,CA1,9,4,5,17,77,12.991,3,1,25.333
AL1,1,AL,CA1,9,4,6,13,74,12.155,4,0,34.385
AL1,1,AL,CA1,20,11,4,47,114,10.217,8,3,16.899
AL1,1,AL,CA1,9,4,6,15,70,11.381,4,0,17.485
AL1,1,AL,CA1,19,9,10,35,134,10.613,8,1,23.142
AL1,1,AL,CA1,12,6,6,21,57,8.07,6,0,17.899
AL1,1,AL,CA1,17,8,8,28,115,10.555,7,0,31.385
AL1,1,AL,CA1,9,4,6,13,49,8.687,4,0,23.485
AL1,1,AL,CA1,35,18,14,60,215,9.784,16,2,31.971
AL1,2,AL,CA1,36,18,13,63,222,9.782,14,3,25.136
AL1,2,AL,CA1,1,0,2,0,51,61.941,0,0,61.941
AL1,2,AL,CA1,7,3,4,13,62,13.118,2,1,26.071
AL1,2,AL,CA1,13,7,5,22,86,9.903,7,0,27.728
AL1,2,AL,CA1,1,0,2,0,54,69.083,0,0,69.083
AL1,2,AL,CA1,5,2,4,4,49,13.851,2,0,29.213
AL1,2,AL,CA1,1,0,2,0,21,27.385,0,0,27.385
AL1,2,AL,CA1,1,0,2,0,22,28.799,0,0,28.799
AL1,2,AL,CA1,12,5,8,21,135,16.334,4,1,51.284
AL1,2,AL,CA1,14,6,7,26,104,11.921,5,0,26.971
AL1,2,AL,CA1,33,17,13,55,173,8.657,16,0,17.071
AL1,2,AL,CA1,3,1,3,3,45,19.29,1,0,40.042
AL1,2,AL,CA1,11,5,7,15,52,7.691,5,0,13.243
AL1,2,AL,CA1,4,1,4,6,45,15.594,0,1,27.648
AL1,2,AL,CA1,16,7,10,24,185,15.773,6,1,38.071
AL1,3,AL,CA1,19,9,9,36,125,10.297,7,2,19.899
AL1,3,AL,CA1,7,3,5,8,82,16.008,3,0,39.87
AL1,3,AL,CA1,29,14,13,46,202,10.422,11,3,24.071
AL1,3,AL,CA1,5,2,4,4,105,25.714,2,0,58.627
AL1,3,AL,CA1,7,3,5,5,79,14.82,3,0,28.799
AL1,3,AL,CA1,26,12,13,40,242,13.355,9,3,38.213
AL1,3,AL,CA1,3,1,3,4,16,8.3,1,0,16.243
AL1,3,AL,CA1,7,3,5,11,97,18.673,3,0,31.213
AL1,3,AL,CA1,10,5,5,16,104,14.678,5,0,29.314
AL1,3,AL,CA1,3,1,3,1,51,21.176,1,0,34.556
AL1,3,AL,CA1,24,11,14,36,153,10.142,10,1,31.385
AL1,3,AL,CA1,8,3,5,12,67,11.801,1,2,25.728
AL1,3,AL,CA1,1,0,2,0,33,38.556,0,0,38.556
AL1,3,AL,CA1,3,1,3,3,57,24.533,1,0,51.87
AL1,3,AL,CA1,8,3,6,16,57,11.416,2,1,17.071
AL1,4,AL,CA1,7,3,5,5,71,14.091,3,0,37.456
AL1,4,AL,CA1,1,0,2,0,9,12.899,0,0,12.899
AL1,4,AL,CA1,9,4,6,15,72,12.201,4,0,21.728
AL1,4,AL,CA1,4,2,2,6,70,22.399,2,0,34.728
AL1,4,AL,CA1,17,9,7,30,138,12.083,9,0,25.142
AL1,4,AL,CA1,3,1,3,3,27,12.047,1,0,21.899
AL1,4,AL,CA1,7,3,5,12,82,15.514,3,0,36.728
AL1,4,AL,CA1,15,7,9,21,158,14.416,7,0,33.728
AL1,4,AL,CA1,17,8,10,31,148,13.29,8,0,27.314
AL1,4,AL,CA1,3,1,3,4,39,18.118,1,0,24.627
AL1,4,AL,CA1,3,1,3,3,46,20.59,1,0,34.213
AL1,4,AL,CA1,1,0,2,0,16,21.142,0,0,21.142
AL1,4,AL,CA1,5,2,4,6,68,17.554,2,0,36.971
AL1,4,AL,CA1,7,3,5,11,71,14.889,3,0,34.213
AL1,4,AL,CA1,13,6,8,19,134,14.251,6,0,38.799
AL1,1,AL,CA3,1,0,2,0,34,39.142,0,0,39.142
AL1,1,AL,CA3,17,9,7,25,139,11.876,9,0,29.142
AL1,1,AL,CA3,1,0,2,0,19,24.556,0,0,24.556
AL1,1,AL,CA3,5,2,4,7,48,13.754,2,0,20.314
AL1,1,AL,CA3,3,1,3,4,35,15.462,1,0,26.899
AL1,1,AL,CA3,4,1,4,8,59,20.664,0,1,32.971
AL1,1,AL,CA3,1,0,2,0,48,56.042,0,0,56.042
AL1,1,AL,CA3,9,4,6,14,86,13.692,4,0,24.314
AL1,1,AL,CA3,2,1,1,4,53,32.935,1,0,56.042
AL1,1,AL,CA3,10,3,8,19,103,15.404,1,1,35.719
AL1,1,AL,CA3,5,2,4,4,35,9.925,2,0,17.243
AL1,1,AL,CA3,5,2,4,6,75,20.362,2,0,41.87
AL1,1,AL,CA3,1,0,2,0,22,30.042,0,0,30.042
AL1,1,AL,CA3,16,7,10,28,98,10.017,6,1,25.142
AL1,1,AL,CA3,13,6,8,17,102,11.432,6,0,20.314
AL1,2,AL,CA3,6,2,5,9,63,15.549,1,1,35.333
AL1,2,AL,CA3,8,3,5,15,76,14.222,1,2,30.576
AL1,2,AL,CA3,3,1,3,4,38,17.014,1,0,30.142
AL1,2,AL,CA3,6,2,5,10,65,15.817,1,1,23.728
AL1,2,AL,CA3,16,7,10,23,99,9.482,6,1,21.243
AL1,2,AL,CA3,5,2,4,7,48,14.168,2,0,38.042
AL1,2,AL,CA3,5,2,4,8,37,10.974,2,0,16.243
AL1,2,AL,CA3,10,4,6,18,100,14.593,2,2,27.55
AL1,2,AL,CA3,5,2,4,7,30,9.54,2,0,16.314
AL1,2,AL,CA3,3,1,3,4,21,10.933,1,0,15.485
AL1,2,AL,CA3,1,0,2,0,59,71.184,0,0,71.184
AL1,2,AL,CA3,3,1,3,4,50,21.842,1,0,49.213
AL1,2,AL,CA3,5,2,4,4,81,21.079,2,0,35.385
AL1,2,AL,CA3,3,1,3,4,27,12.462,1,0,14.657
AL1,2,AL,CA3,18,8,11,26,146,12.276,7,1,26.728
AL1,3,AL,CA3,21,10,11,30,164,11.159,9,1,24.071
AL1,3,AL,CA3,4,2,3,11,39,14.128,1,0,28.142
AL1,3,AL,CA3,1,0,2,0,36,44.87,0,0,44.87
AL1,3,AL,CA3,3,1,3,3,33,15.014,1,0,20.485
AL1,3,AL,CA3,5,2,4,7,43,11.925,2,0,22.314
AL1,3,AL,CA3,14,7,7,19,170,16.355,7,0,54.355
AL1,3,AL,CA3,15,7,9,25,152,14.188,7,0,31.556
AL1,3,AL,CA3,5,2,4,6,122,30.922,2,0,71.598
AL1,3,AL,CA3,1,0,2,0,4,5.414,0,0,5.414
AL1,3,AL,CA3,8,3,6,11,60,10.771,2,1,21.899
AL1,3,AL,CA3,3,1,3,5,47,20.485,1,0,26.728
AL1,3,AL,CA3,5,2,4,7,60,16.071,2,0,40.728
AL1,3,AL,CA3,12,5,8,17,72,9.354,4,1,22.657
AL1,3,AL,CA3,3,1,3,3,98,38.752,1,0,53.284
AL1,3,AL,CA3,11,5,7,18,86,11.776,5,0,21.485
AL1,4,AL,CA3,6,3,3,3,51,11.709,3,0,15.899
AL1,4,AL,CA3,3,1,3,3,46,19.347,1,0,28.314
AL1,4,AL,CA3,14,6,9,21,102,10.818,5,1,19.899
AL1,4,AL,CA3,5,2,4,4,60,15.388,2,0,20.485
AL1,4,AL,CA3,1,0,2,0,20,24.314,0,0,24.314
AL1,4,AL,CA3,5,2,4,8,53,14.705,2,0,31.142
AL1,4,AL,CA3,5,2,4,5,50,14.168,2,0,45.941
AL1,4,AL,CA3,9,4,5,12,84,12.787,3,1,23.657
AL1,4,AL,CA3,21,10,9,39,108,8.812,7,3,22.792
AL1,4,AL,CA3,4,1,4,4,48,16.855,0,1,19.971
AL1,4,AL,CA3,12,6,6,20,74,9.907,6,0,20.314
AL1,4,AL,CA3,5,2,4,5,48,13.188,2,0,22.142
AL1,4,AL,CA3,13,5,9,23,115,13.051,3,2,22.899
AL1,4,AL,CA3,3,1,3,3,24,11.738,1,0,17.071
AL1,4,AL,CA3,5,2,4,6,74,18.92,2,0,35.899
AL1,1,AL,GD,9,4,5,18,61,11.369,3,1,20.142
AL1,1,AL,GD,9,4,6,12,80,12.324,4,0,17.657
AL1,1,AL,GD,12,6,6,16,99,11.671,6,0,31.385
AL1,1,AL,GD,1,0,2,0,12,15.485,0,0,15.485
AL1,1,AL,GD,12,6,6,21,80,10.145,6,0,20.314
AL1,1,AL,GD,3,1,3,3,43,18.209,1,0,23.485
AL1,1,AL,GD,11,5,7,14,114,14.124,5,0,21.314
AL1,1,AL,GD,2,1,1,3,37,23.021,1,0,39.385
AL1,1,AL,GD,12,5,8,21,129,15.852,4,1,27.799
AL1,1,AL,GD,10,5,5,19,90,13.105,5,0,29.899
AL1,1,AL,GD,10,4,7,15,107,15.078,3,1,37.971
AL1,1,AL,GD,12,5,7,22,82,10.775,3,2,23.964
AL1,1,AL,GD,5,2,4,6,56,15.154,2,0,28.556
AL1,1,AL,GD,9,4,6,11,71,11.166,4,0,49.527
AL1,1,AL,GD,15,7,8,24,146,13.909,6,1,23.314
AL1,2,AL,GD,1,0,2,0,22,26.314,0,0,26.314
AL1,2,AL,GD,14,7,7,20,175,16.677,7,0,53.385
AL1,2,AL,GD,3,1,3,1,54,22.647,1,0,46.456
AL1,2,AL,GD,3,1,3,4,27,11.909,1,0,20.899
AL1,2,AL,GD,10,4,7,11,102,13.894,3,1,41.456
AL1,2,AL,GD,7,3,4,11,79,15.686,2,1,39.042
AL1,2,AL,GD,3,1,3,4,34,14.714,1,0,21.485
AL1,2,AL,GD,3,1,3,4,22,10.852,1,0,14.071
AL1,2,AL,GD,7,3,5,10,39,8.992,3,0,14.485
AL1,2,AL,GD,8,4,4,14,82,14.571,4,0,31.728
AL1,2,AL,GD,7,3,4,14,56,11.966,2,1,19.071
AL1,2,AL,GD,3,1,3,1,68,28.223,1,0,37.314
AL1,2,AL,GD,5,3,1,8,114,28.245,3,0,63.284
AL1,2,AL,GD,4,1,4,4,38,14.353,0,1,24.792
AL1,2,AL,GD,10,4,7,14,45,7.725,3,1,15.893
AL1,3,AL,GD,6,3,3,8,64,14.157,3,0,30.314
AL1,3,AL,GD,19,9,11,31,144,11.328,9,0,31.556
AL1,3,AL,GD,21,10,12,33,170,12.036,10,0,32.385
AL1,3,AL,GD,6,3,3,12,91,20.026,3,0,62.042
AL1,3,AL,GD,7,3,5,11,81,15.726,3,0,26.556
AL1,3,AL,GD,3,1,3,3,33,14.462,1,0,26.899
AL1,3,AL,GD,9,4,5,16,99,15.634,3,1,26.55
AL1,3,AL,GD,4,1,4,4,63,20.457,0,1,25.964
AL1,3,AL,GD,3,1,3,3,35,15.266,1,0,21.071
AL1,3,AL,GD,5,2,4,8,66,17.934,2,0,42.799
AL1,3,AL,GD,5,2,3,5,34,9.277,1,1,21.899
AL1,3,AL,GD,5,2,4,7,83,21.914,2,0,44.627
AL1,3,AL,GD,5,2,4,8,40,12.354,2,0,20.314
AL1,3,AL,GD,4,2,2,7,60,19.114,2,0,37.385
AL1,3,AL,GD,2,1,0,2,46,26.278,0,1,49.142
AL1,4,AL,GD,13,6,8,19,108,11.869,6,0,28.142
AL1,4,AL,GD,11,5,6,12,69,9.362,4,1,21.899
AL1,4,AL,GD,1,0,2,0,31,37.385,0,0,37.385
AL1,4,AL,GD,3,1,3,4,64,27.556,1,0,40.213
AL1,4,AL,GD,23,12,9,40,167,10.947,11,1,23.728
AL1,4,AL,GD,5,2,4,7,73,19.831,2,0,45.284
AL1,4,AL,GD,7,3,5,9,44,9.385,3,0,20.071
AL1,4,AL,GD,5,2,4,6,53,14.14,2,0,30.971
AL1,4,AL,GD,24,11,14,36,123,8.557,10,1,22.556
AL1,4,AL,GD,3,1,3,1,32,14.29,1,0,22.728
AL1,4,AL,GD,1,0,2,0,12,15.071,0,0,15.071
AL1,4,AL,GD,13,6,8,14,112,12.27,6,0,22.899
AL1,4,AL,GD,11,5,7,15,65,9.136,5,0,20.071
AL1,4,AL,GD,17,8,9,30,108,9.95,7,1,19.485
AL1,4,AL,GD,13,6,8,19,119,12.798,6,0,29.142
AL2,1,AL,CA1,9,4,6,12,100,14.868,4,0,27.142
AL2,1,AL,CA1,12,5,8,14,117,13.156,4,1,30.207
AL2,1,AL,CA1,13,6,8,17,105,11.867,6,0,20.485
AL2,1,AL,CA1,19,9,10,36,136,11.013,8,1,23.314
AL2,1,AL,CA1,5,2,4,10,47,13.705,2,0,37.385
AL2,1,AL,CA1,10,5,5,12,108,14.181,5,0,34.142
AL2,1,AL,CA1,11,5,7,18,75,10.378,5,0,21.899
AL2,1,AL,CA1,6,2,5,9,79,18.991,1,1,29.799
AL2,1,AL,CA1,5,2,4,6,88,22.879,2,0,47.87
AL2,1,AL,CA1,1,0,2,0,39,47.456,0,0,47.456
AL2,1,AL,CA1,5,2,4,6,112,27.845,2,0,45.971
AL2,1,AL,CA1,3,1,3,4,47,21.118,1,0,34.971
AL2,1,AL,CA1,8,3,6,12,75,13.415,2,1,43.728
AL2,1,AL,CA1,24,11,14,35,161,10.044,10,1,28.971
AL2,1,AL,CA1,8,3,6,13,50,10.326,2,1,16.677
AL2,2,AL,CA1,1,0,2,0,85,100.083,0,0,100.083
AL2,2,AL,CA1,3,1,3,4,58,24.233,1,0,30.971
AL2,2,AL,CA1,8,4,4,15,86,15.028,4,0,34.314
AL2,2,AL,CA1,9,4,6,13,71,11.224,4,0,24.728
AL2,2,AL,CA1,3,1,3,4,50,21.566,1,0,36.385
AL2,2,AL,CA1,18,7,12,29,114,10.203,5,1,28.437
AL2,2,AL,CA1,19,9,10,34,102,8.817,8,1,24.142
AL2,2,AL,CA1,22,10,11,45,171,12.339,7,3,25.213
AL2,2,AL,CA1,15,7,9,16,138,12.777,7,0,25.142
AL2,2,AL,CA1,19,9,10,29,162,12.292,8,1,30.314
AL2,2,AL,CA1,20,10,10,33,152,11.191,10,0,25.485
AL2,2,AL,CA1,16,7,10,24,145,12.953,6,1,27.827
AL2,2,AL,CA1,13,6,8,19,122,12.933,6,0,22.728
AL2,2,AL,CA1,27,12,15,36,189,10.721,9,3,27.627
AL2,2,AL,CA1,32,16,14,54,230,10.919,14,2,26.971
AL2,3,AL,CA1,9,4,6,11,88,13.673,4,0,38.385
AL2,3,AL,CA1,9,4,5,18,80,12.852,3,1,32.314
AL2,3,AL,CA1,12,5,8,16,91,11.294,4,1,20.964
AL2,3,AL,CA1,17,8,10,22,89,8.438,8,0,26.142
AL2,3,AL,CA1,20,10,9,30,151,10.896,9,1,26.142
AL2,3,AL,CA1,11,5,6,19,107,13.506,4,1,25.485
AL2,3,AL,CA1,14,6,9,23,115,12.08,5,1,29.728
AL2,3,AL,CA1,12,5,8,20,116,14.133,4,1,25.728
AL2,3,AL,CA1,15,7,8,23,105,10.746,6,1,20.657
AL2,3,AL,CA1,5,2,4,4,86,21.997,2,0,37.556
AL2,3,AL,CA1,26,13,12,38,191,10.798,12,1,26.485
AL2,3,AL,CA1,16,7,10,18,137,11.766,6,1,24.385
AL2,3,AL,CA1,28,13,16,47,208,11.41,12,1,40.284
AL2,3,AL,CA1,29,13,16,45,238,12.047,10,3,31.556
AL2,3,AL,CA1,13,6,8,18,104,11.484,6,0,23.657
AL2,4,AL,CA1,17,8,10,26,101,9.17,8,0,31.485
AL2,4,AL,CA1,18,8,11,31,128,10.815,7,1,25.314
AL2,4,AL,CA1,5,2,4,5,63,16.685,2,0,38.385
AL2,4,AL,CA1,12,6,5,22,130,15.706,5,1,32.627
AL2,4,AL,CA1,5,2,4,7,131,32.425,2,0,58.87
AL2,4,AL,CA1,15,6,10,22,111,11.924,5,0,28.142
AL2,4,AL,CA1,16,8,8,21,138,12.006,8,0,28.556
AL2,4,AL,CA1,8,3,6,15,88,16.116,2,1,39.035
AL2,4,AL,CA1,9,4,6,13,53,9.132,4,0,23.142
AL2,4,AL,CA1,16,7,8,28,123,11.733,4,3,41.556
AL2,4,AL,CA1,25,13,9,41,125,8.438,11,2,20.485
AL2,4,AL,CA1,13,6,6,23,112,12.693,5,0,28.142
AL2,4,AL,CA1,10,5,5,16,92,13.495,5,0,32.213
AL2,4,AL,CA1,9,4,6,13,83,12.657,4,0,32.971
AL2,4,AL,CA1,3,1,3,3,65,27.061,1,0,36.899
AL2,1,AL,CA3,6,2,5,10,62,14.623,1,1,20.848
AL2,1,AL,CA3,11,5,6,13,80,10.866,4,1,23.799
AL2,1,AL,CA3,10,5,5,18,86,12.498,5,0,21.728
AL2,1,AL,CA3,5,2,4,8,66,18.465,2,0,44.698
AL2,1,AL,CA3,15,7,8,20,103,10.047,6,1,17.657
AL2,1,AL,CA3,6,2,5,7,56,13.168,1,1,24.479
AL2,1,AL,CA3,7,3,5,9,24,6.173,3,0,9.657
AL2,1,AL,CA3,1,0,2,0,19,24.142,0,0,24.142
AL2,1,AL,CA3,5,2,4,4,62,16.037,2,0,26.556
AL2,1,AL,CA3,16,8,8,28,91,9.133,8,0,22.385
AL2,1,AL,CA3,3,1,3,3,17,8.576,1,0,11.243
AL2,1,AL,CA3,3,1,3,4,58,24.095,1,0,63.042
AL2,1,AL,CA3,9,4,6,11,70,10.798,4,0,29.142
AL2,1,AL,CA3,16,7,9,27,88,9.099,5,2,19.728
AL2,1,AL,CA3,8,3,6,8,87,15.243,2,1,27.314
AL2,2,AL,CA3,20,9,11,27,189,13.208,7,2,35.042
AL2,2,AL,CA3,26,13,12,44,157,9.47,12,1,23.142
AL2,2,AL,CA3,5,2,4,7,52,15.797,2,0,51.012
AL2,2,AL,CA3,9,4,6,11,64,10.408,4,0,21.899
AL2,2,AL,CA3,5,2,4,5,125,30.991,2,0,62.113
AL2,2,AL,CA3,5,2,4,4,124,31.585,2,0,52.87
AL2,2,AL,CA3,3,1,3,3,60,24.842,1,0,36.799
AL2,2,AL,CA3,9,4,6,10,109,16.198,4,0,64.355
AL2,2,AL,CA3,9,4,6,11,63,10.277,4,0,20.728
AL2,2,AL,CA3,9,4,5,9,110,15.876,3,1,36.456
AL2,2,AL,CA3,3,1,3,3,58,25.418,1,0,37.042
AL2,2,AL,CA3,9,4,6,14,80,12.749,4,0,23.071
AL2,2,AL,CA3,14,6,9,21,129,13.558,5,1,49.527
AL2,2,AL,CA3,7,3,5,10,81,16.175,3,0,31.556
AL2,2,AL,CA3,5,2,4,5,127,32.433,2,0,47.87
AL2,3,AL,CA3,12,6,6,19,113,13.488,6,0,21.728
