Animal,Corte,Grupo,Region,Mean Foreground Pixels,Density = Foreground Pixels/Hull Area,Span Ratio,Maximum Span Across Hull,Area,Perimeter,Circularity,Width of Bounding Rectangle,Height of Bounding Rectangle,Maximum Radius from Hull's Centre of Mass,Max/Min Radii,CV for all Radii,Mean Radius,Diameter of Bounding Circle,Maximum Radius from Circle's Centre,Max/Min Radii from Circle Centre,CV for all Radii from Circle's Centre,Mean Radius from Circle's Centre,Method Used to Calculate Circle
CS2,3,CS,GD,241,0.9198,2.8928,30.5941,262,71.1151,0.651,13,32,17.597,3.8196,0.2829,12.5029,30.5941,15.2971,3.0594,0.2437,12.7789,span
CS2,3,CS,GD,555,1.0036,2.3939,43.4166,553,98.9382,0.7099,19,45,27.1777,6.9666,0.3854,17.9076,43.4166,21.7083,2.486,0.2892,16.4318,span
CS2,3,CS,GD,815,0.9939,2.8318,55.4617,820,125.9431,0.6496,50,34,40.5109,4.8881,0.4399,25.5432,55.4617,27.7308,1.9368,0.193,22.7498,span
CS2,3,CS,GD,428,1.0465,1.3535,26.9258,409,75.0608,0.9122,26,22,20.2149,5.6857,0.3586,13.3991,26.9724,13.4862,1.351,0.099,12.303,span
CS2,3,CS,GD,774,0.6282,1.1383,46.5296,1232,133.2256,0.8723,44,43,26.1827,1.4607,0.0921,22.1375,47.6502,23.8251,1.3626,0.085,22.3222,triangle
CS2,3,CS,GD,931,0.5464,1.8596,68.593,1704,166.933,0.7684,53,56,38.6788,1.9527,0.2133,29.3773,68.5966,34.2983,1.949,0.1715,29.4998,span
CS2,3,CS,GD,1178,0.5855,1.3536,63.1506,2012,169.3925,0.8811,62,50,31.9507,1.5186,0.1544,27.7033,63.1567,31.5784,1.7113,0.157,27.8279,span
CS2,3,CS,GD,882,0.5408,2.3573,74.7329,1631,171.1229,0.6999,68,38,41.2196,2.994,0.3224,28.5,74.7329,37.3664,2.8471,0.2959,28.5133,span
CS2,3,CS,GD,1084,0.504,1.4167,62.2896,2151,176.8988,0.8638,62,54,34.8537,1.4749,0.0985,30.2741,63.6736,31.8368,1.3152,0.0761,30.127,triangle
CS2,4,CS,GD,1126,0.5506,3.6665,96.2549,2045,215.0338,0.5558,34,98,54.6262,3.4323,0.282,40.6676,96.2549,48.1274,2.8956,0.2284,41.0565,span
CS2,4,CS,GD,2293,0.6428,1.5408,87.7838,3567,229.8531,0.8484,72,78,47.2208,1.7087,0.1743,38.7077,87.7914,43.8957,1.8249,0.1683,39.2153,span
CS2,4,CS,GD,425,0.68,1.4211,38.0789,625,104.3025,0.7219,28,39,22.6064,1.7266,0.1352,17.9758,40.1824,20.0912,1.7789,0.1433,18.4192,triangle
CS2,4,CS,GD,1809,0.4006,1.3649,101.843,4516,276.3169,0.7433,78,98,58.8555,1.6254,0.178,47.0638,104.5775,52.2887,1.2759,0.0711,49.3378,triangle
CS2,4,CS,GD,1112,0.7142,1.2865,51.6236,1557,148.3793,0.8887,49,53,29.7795,1.6049,0.1305,23.5386,53.2095,26.6047,1.5409,0.1332,23.7393,triangle
CS2,4,CS,GD,499,0.9727,1.5938,32.8938,513,85.3998,0.8839,31,25,22.0423,3.8544,0.296,16.2423,32.8938,16.4469,1.537,0.1378,14.1579,span
CS2,4,CS,GD,617,0.7552,1.8737,44.9444,817,114.5027,0.7831,43,32,23.5401,1.4392,0.1144,20.3259,44.9622,22.4811,1.3577,0.1044,20.3875,span
CS2,4,CS,GD,555,0.9487,1.5564,35.1141,585,92.4871,0.8594,26,35,22.4504,1.9203,0.2243,15.7354,35.192,17.596,1.9382,0.1546,15.5737,triangle
CS2,4,CS,GD,742,0.8729,1.5169,42.8019,850,114.2846,0.8178,38,37,21.8006,1.4704,0.0959,19.8032,42.8019,21.4009,1.5365,0.1008,20.1849,span
CS2,4,CS,GD,1772,0.7242,3.4334,114.7563,2447,245.1722,0.5116,112,43,58.859,2.9352,0.3369,42.8221,114.7563,57.3781,2.9739,0.3243,42.7981,span
CS2,4,CS,GD,976,0.7224,1.2741,51.1957,1351,145.3388,0.8037,51,52,32.7276,1.7152,0.1645,24.6984,52.1146,26.0573,1.3557,0.1149,23.9363,triangle
CS2,4,CS,GD,636,0.8641,2.7729,51.0392,736,117.6693,0.668,35,44,29.7802,1.9593,0.2174,21.7457,51.0392,25.5196,2.4195,0.2362,20.9129,span
CS2,4,CS,GD,1208,0.7286,1.6743,64.1327,1658,159.1478,0.8226,42,65,37.6427,1.9928,0.2142,28.4035,64.1327,32.0663,1.5231,0.1554,26.7857,span
CS2,4,CS,GD,1062,0.665,1.3159,59.5399,1597,159.4275,0.7896,49,55,35.3714,1.6449,0.158,26.4613,59.9011,29.9506,1.4504,0.1077,27.5257,triangle
CS2,4,CS,GD,1745,0.8365,1.8684,73.3894,2086,182.545,0.7867,38,72,49.9484,2.7806,0.3609,30.5664,73.3895,36.6947,3.1478,0.2268,31.2924,span
CS3,1,CS,CA1,1330,0.6118,1.5583,74.4312,2174,191.2458,0.7469,51,69,41.4947,1.5814,0.143,32.7993,74.4312,37.2156,1.4886,0.0906,34.1643,span
CS3,1,CS,CA1,554,0.9685,1.7209,35.7351,572,96.0697,0.7788,27,36,22.2528,2.3771,0.2058,17.157,36.5908,18.2954,1.5036,0.124,16.6261,triangle
CS3,1,CS,CA1,442,0.9247,1.2638,28.4253,478,81.4913,0.9045,26,29,15.7141,1.5882,0.121,13.8714,29.0306,14.5153,1.4209,0.0937,13.5751,triangle
CS3,1,CS,CA1,1298,0.8123,2.3186,68.0074,1598,165.1191,0.7365,48,64,37.7859,2.373,0.2612,28.0441,68.1583,34.0792,2.6607,0.2889,27.5785,triangle
CS3,1,CS,CA1,1114,0.6635,1.0654,53.2353,1679,161.6624,0.8073,53,53,31.6816,1.3094,0.0893,27.6931,59.631,29.8155,1.4008,0.0996,27.3358,triangle
CS3,1,CS,CA1,698,0.5228,1.7184,62.0322,1335,154.9638,0.6986,38,64,37.6766,1.6257,0.1954,27.7155,62.0322,31.0161,1.4703,0.1174,27.735,span
CS3,1,CS,CA1,760,0.7819,1.034,41.1096,972,122.7559,0.8106,39,41,31.6328,2.4109,0.3119,21.348,45.5578,22.7789,1.4637,0.1393,20.1822,span
CS3,1,CS,CA1,1184,0.6989,2.1419,76.8505,1694,177.5736,0.6751,47,67,45.3784,3.3222,0.2789,32.0975,76.8505,38.4253,2.5645,0.2569,30.1499,span
CS3,1,CS,CA1,1457,0.7213,2.0192,85,2020,201.6753,0.6241,69,57,47.5697,1.9176,0.2158,37.4386,85,42.5,1.4276,0.0986,38.6722,span
CS3,1,CS,CA1,779,0.7705,2.0014,55.0818,1011,130.7539,0.7431,53,28,29.6687,2.1226,0.1849,22.9407,55.0818,27.5409,1.8893,0.2083,22.3807,span
CS3,1,CS,CA1,1629,0.6929,3.0826,104.3552,2351,226.5551,0.5756,99,42,59.6458,3.4608,0.4004,40.8281,104.3552,52.1776,2.6337,0.3297,38.9622,span
CS3,1,CS,CA1,1448,0.72,1.0109,57.8014,2011,167.4586,0.9012,50,51,35.5644,2.3217,0.2101,28.8179,58.1098,29.0549,1.3142,0.0755,27.6562,triangle
CS3,1,CS,CA1,1470,0.6164,1.5366,73.7902,2385,197.6293,0.7674,70,56,41.9914,1.4424,0.1112,34.8466,74.7928,37.3964,1.2408,0.0634,35.4841,span
CS3,1,CS,CA1,1218,0.5514,1.1801,66.0303,2209,183.6954,0.8226,60,56,36.0457,1.5435,0.1197,31.4501,68.3815,34.1908,1.5401,0.1221,31.2731,span
CS3,1,CS,CA1,1288,0.8188,1.2484,51.8556,1573,147.7055,0.906,49,44,32.9309,1.8737,0.2136,24.3792,52.2159,26.1079,1.3066,0.1082,23.6442,triangle
CS3,2,CS,CA1,1294,0.7221,1.4476,59.1692,1792,163.8037,0.8393,50,58,31.0738,1.4804,0.0986,28.0608,60.4942,30.2471,1.3512,0.0887,28.0684,triangle
CS3,2,CS,CA1,1271,0.9105,1.1499,50.2195,1396,141.2333,0.8795,43,43,32.1841,2.1249,0.2474,24.0935,50.4609,25.2304,1.5372,0.0998,23.399,span
CS3,2,CS,CA1,2356,0.5639,1.5739,95.8801,4178,250.8609,0.8343,93,63,53.6606,1.7845,0.1659,42.568600000000004,95.8801,47.9401,1.6989,0.1425,43.0975,span
CS3,2,CS,CA1,1302,0.4545,2.2556,90.05,2865,221.6297,0.733,45,92,47.9656,2.241,0.1838,40.0594,90.05,45.025,2.3888,0.176,39.246,span
CS3,2,CS,CA1,900,0.6032,1.2458,55,1492,157.0962,0.7597,51,47,31.262,1.5486,0.1183,27.296,58.7763,29.3881,1.5222,0.0967,27.2556,triangle
CS3,2,CS,CA1,614,0.9951,1.9945,39.5601,617,98.0483,0.8065,19,41,23.9241,3.0931,0.2618,16.436,39.5997,19.7999,1.886,0.187,16.7112,triangle
CS3,2,CS,CA1,862,1.0082,1.9434,46.8722,855,114.8752,0.8142,24,48,27.0552,3.7557,0.2889,20.0112,46.8722,23.4361,2.4401,0.2004,19.8556,span
CS3,2,CS,CA1,1413,0.8006,3.2816,89.8721,1765,194.7287,0.5849,62,69,51.774,3.8103,0.3376,33.7687,89.8721,44.9361,2.4149,0.283,35.1846,span
CS3,2,CS,CA1,674,0.9145,3.0617,55.6597,737,125.9414,0.5839,20,56,29.8569,3.3796,0.295,22.2984,55.6618,27.8309,2.9678,0.2745,22.7423,span
CS3,2,CS,CA1,990,0.5156,3.4624,111.2879,1920,235.9024,0.4336,33,113,63.8595,3.9264,0.4604,40.576,111.2879,55.644,4.2153,0.39,42.4449,span
CS3,2,CS,CA1,2270,0.4485,1.7622,122.2497,5061,298.767,0.7125,120,71,70.3561,2.1495,0.2214,53.3316,122.2497,61.1249,1.8808,0.1524,54.5113,span
CS3,2,CS,CA1,838,0.692,1.4507,50.5371,1211,132.5347,0.8664,38,48,28.6135,2.1083,0.184,23.3747,50.5371,25.2686,1.5902,0.1381,22.1888,span
CS3,2,CS,CA1,1734,0.3732,2.3216,124.0846,4646,292.1838,0.6839,96,97,64.1401,2.1413,0.1706,54.8626,124.0846,62.0423,1.7232,0.1386,56.3821,span
CS3,2,CS,CA1,1411,0.3732,1.4711,86.4002,3781,238.6033,0.8346,69,88,47.1067,1.5033,0.1305,39.4903,87.2678,43.6339,1.3756,0.1074,40.2185,triangle
CS3,2,CS,CA1,1170,0.5424,1.8284,81.2158,2157,190.9659,0.7433,66,56,43.711,2.0523,0.2478,32.0129,81.2158,40.6079,3.1145,0.2997,31.2709,span
CS3,3,CS,CA1,656,0.8632,1.7078,47.4236,760,115.3528,0.7177,35,36,33.8285,3.5747,0.3841,21.3783,47.4236,23.7118,3.4867,0.272,19.0076,span
CS3,3,CS,CA1,1033,0.6127,1.5017,59.203,1686,164.5542,0.7824,56,56,33.1087,1.3151,0.0957,29.0047,60.8825,30.4412,1.0973,0.0297,29.568,triangle
CS3,3,CS,CA1,1055,0.5075,3.6677,97.6729,2079,216.0204,0.5599,36,98,53.8932,3.3954,0.3004,41.1422,97.6729,48.8365,3,0.2602,40.4231,span
CS3,3,CS,CA1,832,0.9928,1.807,45.3431,838,114.28,0.8063,36,39,27.2119,5.1879,0.2602,20.056,45.3431,22.6716,1.8828,0.1879,19.2572,span
CS3,3,CS,CA1,815,0.7277,1.5464,49.6588,1120,129.3072,0.8417,46,36,25.3354,1.5907,0.1396,21.9926,49.6588,24.8294,1.6875,0.1294,21.9192,span
CS3,3,CS,CA1,2146,0.3603,1.6404,111.4002,5956,299.1887,0.8361,107,80,63.2793,1.6206,0.1455,51.3432,112.9668,56.4834,1.7325,0.1206,50.8551,triangle
CS3,3,CS,CA1,812,0.6934,2.4556,59.1354,1171,145.3644,0.6964,30,61,34.8524,2.3732,0.2334,25.4247,59.5314,29.7657,3.1139,0.2231,25.4682,triangle
CS3,3,CS,CA1,1200,0.8677,2.1337,69.2604,1383,160.9431,0.6709,66,39,36.0524,2.4769,0.2228,28.8106,69.2604,34.6302,2.5723,0.1974,29.0528,span
CS3,3,CS,CA1,393,1.065,1.6756,30,369,74.5823,0.8336,25,21,24.8646,13.7924,0.5562,14.9373,30,15,1.523,0.1583,12.5855,span
CS3,3,CS,CA1,780,0.3228,2.5104,92.5905,2416,225.9937,0.5944,70,84,52.3869,2.0985,0.1852,41.0385,93.7402,46.8701,1.8631,0.1649,42.0703,span
CS3,3,CS,CA1,981,0.7963,1.6336,53.4603,1232,137.3723,0.8204,37,55,29.7517,1.494,0.1048,25.7782,53.4603,26.7301,1.4793,0.1072,23.9624,span
CS3,3,CS,CA1,696,0.5515,1.4577,51.4782,1262,138.5951,0.8256,36,53,26.9715,1.678,0.1538,22.6823,51.694,25.847,2.3846,0.2054,22.8436,triangle
CS3,3,CS,CA1,430,0.9513,1.7808,33.3766,452,84.0641,0.8038,19,35,21.5725,2.6855,0.2716,15.6867,33.3766,16.6883,1.9599,0.1614,14.3444,span
CS3,3,CS,CA1,1039,0.6301,1.1274,50.1597,1649,149.3946,0.9285,47,50,29.7985,1.542,0.1219,25.3361,51.4332,25.7166,1.1703,0.0441,24.3552,triangle
CS3,3,CS,CA1,979,0.7642,1.1451,47.8017,1281,138.3686,0.8408,46,41,30.416,1.8688,0.1887,23.1884,51.1664,25.5832,1.4655,0.1287,22.8561,span
CS3,4,CS,CA1,1231,0.4549,1.6421,82.201,2706,208.5702,0.7817,70,54,41.2102,1.496,0.1092,36.8968,82.201,41.1005,1.4946,0.1095,36.8713,span
CS3,4,CS,CA1,571,1.0363,1.5048,33.2866,551,87.1936,0.9107,30,27,27.6986,5.1075,0.4883,16.4426,33.2866,16.6433,1.5657,0.1574,13.8861,span
CS3,4,CS,CA1,720,0.9057,1.7272,45.5412,795,114.4406,0.7628,43,31,25.944,1.676,0.1415,19.5479,45.5504,22.7752,1.9568,0.1227,20.8474,span
CS3,4,CS,CA1,652,1.0109,1.3779,36.1248,645,97.1837,0.8582,25,38,21.2986,3.1926,0.2758,15.9942,36.4216,18.2108,1.8218,0.1592,16.0865,triangle
CS3,4,CS,CA1,716,1.0042,1.3377,36.0555,713,99.0986,0.9124,26,36,24.4663,7.7369,0.362,17.6992,36.0555,18.0278,1.8028,0.135,16.0695,span
CS3,4,CS,CA1,573,0.9424,1.819,39.0512,608,97.2148,0.8084,21,40,21.1085,1.8116,0.1919,16.3316,39.0512,19.5256,1.6429,0.1192,17.0783,span
CS3,4,CS,CA1,791,0.8163,1.8048,51.1957,969,125.5824,0.7721,28,52,30.7217,2.3093,0.2418,22.0735,51.1957,25.5979,3.1215,0.1946,22.2074,span
CS3,4,CS,CA1,573,1.038,1.3597,31.0161,552,86.1841,0.9339,23,32,22.5702,3.585,0.3581,15.4573,31.0181,15.509,1.7391,0.1408,13.9477,triangle
CS3,4,CS,CA1,721,0.8836,1.601,44.1814,816,111.1408,0.8301,27,46,25.3202,1.8423,0.1994,18.9994,44.1814,22.0907,2.1456,0.163,19.0836,span
CS3,4,CS,CA1,568,1.0234,1.4379,34.2053,555,88.2323,0.8959,23,35,20.3706,5.1309,0.2598,16.1276,34.2053,17.1026,1.7782,0.1381,14.4188,span
CS3,4,CS,CA1,1484,0.8892,1.6827,62.3618,1669,156.4881,0.8565,38,62,31.2987,1.9265,0.1375,27.6354,62.3618,31.1809,2.1106,0.1393,27.9326,span
CS3,4,CS,CA1,693,0.8134,1.365,41.2311,852,110.0967,0.8833,34,37,24.3379,2.1259,0.1879,19.1951,41.2311,20.6155,1.4577,0.1117,18.3267,span
CS3,4,CS,CA1,589,1.0017,1.5385,35.2278,588,90.9495,0.8933,23,37,19.6492,5.1821,0.3178,15.7891,35.2278,17.6139,1.7592,0.1548,14.7092,span
CS3,4,CS,CA1,760,0.7136,2.1172,57.8705,1065,134.9059,0.7354,28,59,31.6953,2.3491,0.2462,23.7303,57.8705,28.9353,2.4092,0.2648,22.6791,span
CS3,4,CS,CA1,2319,0.4624,1.4993,109.9318,5015,283.3927,0.7847,79,104,59.3538,1.7084,0.1699,46.935,110.4751,55.2376,1.4968,0.1528,48.5449,span
CS3,1,CS,CA3,679,1.0241,1.2098,32.7567,663,93.69,0.9492,29,32,25.7209,4.2249,0.4278,15.6607,32.7567,16.3783,1.3103,0.0723,15.079,span
CS3,1,CS,CA3,626,0.6421,1.6686,50.9313,975,126.6878,0.7634,41,38,30.7638,2.1925,0.2314,21.6113,50.9313,25.4657,3.5835,0.2561,20.5726,span
CS3,1,CS,CA3,552,0.7132,1.3083,42.2019,774,114.4162,0.743,35,40,23.2829,1.2925,0.0804,21.3067,43.1939,21.5969,1.2339,0.0559,20.6471,triangle
